"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","TOM BOYD","0.011","S","UNIONVILLE","SIKES MILL","","999.999","","105230136","2017-09-19","13","1","8","1","O"
"558","LAWYERS","0.005","SE","SIKES MILL","OLD CAMDEN","LAWYERS","999.999","","107493499","2023-10-18","21","1","10","1","O"
"558","LOVE MILL","0.410","S","BRIEF","NC 218","LOVE MILL","999.999","","108330211","2025-12-04","17","1","0","5","O"
"558","LOVE MILL","0.005","E","SIKES MILL","PIEDMONT SCHOOL","LOVE MILL","999.999","","107319671","2023-04-19","21","1","10","1","O"
"558","LOVE MILL","0.190","NE","SIKES MILL","PIEDMONT SCHOOL","LOVE MILL","999.999","","107148213","2022-11-16","21","1","0","1","O"
"558","LOVE MILL","0.200","NE","SIKES MILL","*LCL PURSER RUSHING RD ","LOVE MILL","999.999","","105536078","2018-07-09","17","1","0","2","O"
"08/18/2026","Page 3 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","NC 200","0.000","","SR 1606","SR 1633","NC 200","25.690","","107224951","2023-01-22","23","2","7","5","O"
"558","NC 200","0.000","","SR 1606","SR 1633","NC 200","25.690","","106326117","2020-09-02","30","1","7","1","B"
"0","NC 200","0.000","","SR 1606","SR 1627","NC 200","25.690","","106253848","2020-06-12","23","1","7","1","O"
"558","NC 200","0.000","","SR 1606","SR 1633","NC 200","25.690","","105848333","2019-04-26","30","1","7","1","O"
"558","NC 200","0.000","","SR 1606","SR 1633","NC 200","25.690","","105422803","2018-03-19","19","1","7","1","O"
"558","NC 200","0.010","N","SR 1606","SR 1637","NC 200","25.700","","107859973","2024-09-19","19","1","0","1","B"
"637","NC 218","0.019","W","SIKES MILL","MILL CREEK CHUR","NC 218","8.063","","108436294","2026-03-15","21","1","0","1","O"
"637","NC 218","0.009","W","SIKES MILL","*LCL CROOKED CREEK CH RD ","NC 218","8.073","","107209411","2023-01-11","21","1","12","1","C"
"637","NC 218","0.003","W","SIKES MILL","CROOKED CRK CH","NC 218","8.079","","107321738","2023-05-01","21","1","7","1","C"
"637","NC 218","0.001","W","SR 1606","SR 1609","NC 218","8.081","","104866396","2016-09-30","32","1","7","5","O"
"637","NC 218","0.000","","SIKES MILL","*LCL OLD FISH RD ","NC 218","8.082","","108486827","2026-05-04","28","1","10","1","O"
"637","NC 218","0.000","","SIKES MILL","BRIEF","NC 218","8.082","","107751347","2024-06-14","24","1","7","1","C"
"637","NC 218","0.000","","SIKES MILL","BRIEF","NC 218","8.082","","107705518","2024-05-01","23","1","7","1","C"
"637","NC 218","0.000","","SIKES MILL","BRIEF","NC 218","8.082","","107183135","2022-12-16","30","1","7","1","O"
"637","NC 218","0.000","","SIKES MILL","BRIEF","NC 218","8.082","","107035876","2022-08-04","30","1","7","1","C"
"0","NC 218","0.000","","SR 1606","SR 1547","NC 218","8.082","","107659355","2024-03-16","30","1","7","1","O"
"0","NC 218","0.000","","SR 1606","SR 1001","NC 218","8.082","","107194746","2022-12-27","21","1","7","5","C"
"0","NC 218","0.000","","SR 1606","SR 1610","NC 218","8.082","","107139136","2022-11-07","30","1","7","5","O"
"637","NC 218","0.000","","SR 1606","SR 1547","NC 218","8.082","","107122762","2022-10-20","30","1","7","1","O"
"637","NC 218","0.000","","SR 1606","SR 1609","NC 218","8.082","","106620331","2021-06-24","30","1","7","1","A"
"0","NC 218","0.000","","SR 1606","SR 1547","NC 218","8.082","","105491727","2018-05-23","24","1","7","1","B"
"637","NC 218","0.000","","SR 1606","SR 1547","NC 218","8.082","","105344309","2018-01-06","30","1","7","1","B"
"637","NC 218","0.000","","SR 1606","SR 1609","NC 218","8.082","","105184681","2017-08-08","30","2","7","1","C"
"0","NC 218","0.000","","SR 1606","NC 200","NC 218","8.082","","105098258","2017-05-12","30","1","7","1","O"
