"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"UNION","90","10","All and Rural","","4/1/2016","6/30/2026","10.25","150"
"Road Name","Road Code"
"SR 1001","40001001"
"SR 1617","40001617"
"SIKES MILL","50028131"
"TOM BOYD","50043323"
"SR 1619","40001619"
"SR 1606","40001606"
"LOVE MILL","50018268"
"08/18/2026","Page 1 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SIKES MILL","0.029","N","BAUCOM","CHANEY","SR 1001","1.381","","106254958","2020-06-19","19","1","8","1","C"
"558","SR 1001","0.053","N","SR 1620","SR 1665","SR 1001","1.405","","108285791","2025-10-29","29","2","0","1","O"
"558","SIKES MILL","0.057","E","BAUCOM","CHANEY","SR 1001","1.409","","106790781","2021-12-03","28","1","0","1","O"
"0","SR 1001","0.076","N","SR 1620","SR 1645","SR 1001","1.428","","107976497","2024-12-29","19","2","0","5","O"
"558","SIKES MILL","0.095","N","BAUCOM","CHANEY","SR 1001","1.447","","107319625","2023-04-11","29","1","0","1","O"
"0","SR 1001","0.700","S","SR 1665","SR 1620","SR 1001","1.515","","105713041","2018-12-10","29","2","0","1","O"
"0","SR 1001","0.190","N","SR 1620","SR 1665","SR 1001","1.542","","106844875","2022-01-27","17","1","0","5","O"
"558","SR 1001","0.250","N","BAUCOM","SPRING LAKE","SR 1001","1.602","","107128674","2022-10-31","21","1","0","1","C"
"558","SR 1001","0.250","N","SR 1620","SR 1665","SR 1001","1.602","","107595975","2024-01-15","19","1","0","1","O"
"0","SR 1001","0.300","N","SR 1620","SR 1665","SR 1001","1.652","","107125512","2022-10-27","27","1","0","5","C"
"558","SR 1001","0.500","S","SR 1665","SR 1620","SR 1001","1.715","","105778678","2019-02-13","17","1","0","1","O"
"0","SR 1001","0.500","S","SR 1665","SR 1620","SR 1001","1.715","","105554071","2018-07-25","19","1","0","5",""
"366","SR 1001","0.370","NE","SR 1620","SR 1665","SR 1001","1.722","","106547429","2021-04-16","19","1","0","1","O"
"08/18/2026","Page 8 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SIKES MILL","0.380","NE","BAUCOM","CHANEY","SR 1001","1.732","","107720690","2024-05-16","19","1","0","3","O"
"558","SR 1001","0.400","SE","SR 1665","SR 1620","SR 1001","1.815","","107984794","2025-01-07","18","1","0","5","O"
"558","SIKES MILL","0.280","S","CHANEY","BAUCOM","SR 1001","1.935","","106961419","2022-05-19","21","1","0","1","O"
"558","SR 1001","0.250","S","SR 1665","SR 1620","SR 1001","1.965","","106709721","2021-09-21","27","3","4","1","B"
"0","SIKES MILL","0.240","S","CHANEY","BAUCOM","SR 1001","1.975","","105178227","2017-07-31","19","1","0","5","O"
"558","SR 1001","0.200","S","SR 1665","SR 1620","SR 1001","2.015","","105912752","2019-06-30","17","2","0","5","O"
"558","SR 1001","0.100","S","SR 1665","US 601","SR 1001","2.115","","105707364","2018-12-10","29","4","0","1","O"
"558","SR 1001","0.100","SW","SR 1665","SR 1620","SR 1001","2.115","","107412806","2023-07-31","29","1","0","1","C"
"0","SIKES MILL","0.095","S","CHANEY","BAUCOM","SR 1001","2.120","","105302586","2017-11-28","17","1","0","5","O"
"0","SR 1001","0.038","S","SR 1665","SR 1620","SR 1001","2.177","","107935833","2024-11-25","17","1","0","5","O"
"558","SR 1001","0.000","","SR 1665","SR 1615","SR 1001","2.215","","105137812","2017-06-19","19","1","8","1","O"
"558","SR 1001","0.010","N","SR 1665","SR 1615","SR 1001","2.225","","107059684","2022-08-28","19","1","0","1",""
"0","SR 1001","0.052","N","SR 1665","SR 2713","SR 1001","2.267","","106807050","2021-12-18","5","1","0","5","C"
"558","SR 1001","0.100","N","SR 1665","SR 2713","SR 1001","2.315","","106678989","2021-08-29","29","1","0","1","O"
"558","SR 1001","0.100","N","SR 1665","SR 2713","SR 1001","2.315","","106572777","2021-05-11","29","1","0","1","C"
"558","SR 1001","0.100","N","SR 1665","SR 2713","SR 1001","2.315","","105183265","2017-08-07","23","1","0","1","B"
"0","SR 1001","0.100","N","SR 1665","SR 2713","SR 1001","2.315","","104942809","2016-12-07","1","1","5","5","O"
"0","SR 1001","0.400","S","SR 1615","SR 1638","SR 1001","2.471","","104946035","2016-12-10","21","1","0","5","C"
"558","SR 1001","0.031","S","SR 2713","SR 1665","SR 1001","2.494","","107743856","2024-06-04","5","1","0","1","A"
"558","SR 1001","0.006","S","SR 2713","SR 1665","SR 1001","2.519","","108208937","2025-08-14","19","1","0","1","A"
"558","SR 1001","0.000","","SR 2713","SR 1615","SR 1001","2.525","","108377777","2026-01-19","23","1","8","1","O"
"558","SR 1001","0.000","","SR 2713","SR 1665","SR 1001","2.525","","106017149","2019-10-08","24","1","8","1","B"
"558","SR 1001","0.009","N","SR 2713","SR 1615","SR 1001","2.534","","106393731","2020-11-04","17","1","0","3","O"
"558","SR 1001","0.300","S","SR 1615","SR 2713","SR 1001","2.571","","107054448","2022-08-16","29","1","0","1","O"
"558","SR 1001","0.250","S","SR 1615","SR 2713","SR 1001","2.621","","106146785","2020-02-03","17","1","0","5","O"
"558","SR 1001","0.200","S","SR 1615","SR 2713","SR 1001","2.671","","107693734","2024-04-19","17","1","0","1","O"
"0","SR 1001","0.500","N","SR 1665","SR 2713","SR 1001","2.715","","108271610","2025-10-13","29","1","0","1","O"
"0","SR 1001","0.500","N","SR 1665","SR 1615","SR 1001","2.715","","107158545","2022-11-24","17","1","0","5","O"
"558","SR 1001","0.500","N","SR 1665","SR 1615","SR 1001","2.715","","108436731","2026-03-13","19","1","0","1","B"
"558","SR 1001","0.200","NE","SR 2713","SR 1615","SR 1001","2.725","","105512829","2018-06-15","19","1","0","5","O"
"558","SR 1001","0.100","S","SR 1615","SR 1638","SR 1001","2.771","","105353604","2018-01-16","23","1","5","1","O"
"558","SIKES MILL","0.250","N","BRIARCLIFF","UNIONVILLE","SR 1001","2.775","","106042505","2019-10-16","1","3","0","1","O"
"08/18/2026","Page 9 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SIKES MILL","0.000","","UNIONVILLE","HAIGLER BAUCOM","SR 1001","2.871","","108179130","2025-07-22","19","1","0","1","C"
"558","SR 1001","0.000","","SR 1615","SR 1619","SR 1001","2.871","","106467658","2021-01-18","23","1","8","1","O"
"558","SR 1001","0.000","","SR 1615","SR 1617","SR 1001","2.871","","106006697","2019-09-27","23","1","8","1","B"
"558","SIKES MILL","0.500","S","TOM BOYD","UNIONVILLE","SR 1001","2.961","","106582879","2021-05-24","17","1","0","1","O"
"0","SR 1001","0.500","S","SR 1617","SR 1615","SR 1001","2.961","","105477494","2018-05-12","19","1","0","5","A"
"558","SR 1001","0.100","N","SR 1615","SR 1617","SR 1001","2.971","","108184887","2025-07-27","19","1","0","1","A"
"0","SR 1001","0.100","N","SR 1615","SR 1619","SR 1001","2.971","","107410107","2023-07-29","17","1","0","1","O"
"558","SIKES MILL","0.120","NE","UNIONVILLE","TOM BOYD","SR 1001","2.991","","106000270","2019-09-21","19","1","0","1","O"
"0","SR 1001","0.500","N","SR 2713","SR 1615","SR 1001","3.025","","104716998","2016-04-22","17","1","0","5","O"
"558","SR 1001","0.400","S","SR 1617","SR 1665","SR 1001","3.061","","105456064","2018-04-19","31","1","0","1","O"
"558","SR 1001","0.200","N","SR 1615","SR 1617","SR 1001","3.071","","105245689","2017-10-07","17","2","","1","O"
"558","SR 1001","0.200","N","SR 1615","SR 1617","SR 1001","3.071","","105257437","2017-10-16","17","1","0","5","O"
"558","SR 1001","0.200","NE","SR 1615","SR 1619","SR 1001","3.071","","107287148","2023-03-21","18","1","0","5","O"
"558","SIKES MILL","0.210","N","UNIONVILLE","CLONTZ LONG","SR 1001","3.081","","106523220","2021-03-20","19","2","0","5","O"
"558","SIKES MILL","0.210","N","UNIONVILLE","TOM BOYD","SR 1001","3.081","","107483858","2023-10-06","17","1","0","2","O"
"558","SIKES MILL","0.360","S","TOM BOYD","UNIONVILLE","SR 1001","3.101","","108539563","2026-06-21","17","1","0","2","B"
"558","SR 1001","0.300","S","SR 1617","SR 1615","SR 1001","3.161","","107634836","2024-02-24","29","1","0","5","O"
"558","SR 1001","0.300","S","SR 1619","SR 1615","SR 1001","3.161","","106019966","2019-10-09","17","1","0","5","O"
"558","SR 1001","0.300","W","SR 1619","SR 1615","SR 1001","3.161","","106922517","2022-04-15","17","1","0","5","O"
"558","SR 1001","0.300","N","SR 1615","SR 1619","SR 1001","3.171","","106019965","2019-10-09","17","1","0","5","O"
"558","SIKES MILL","0.240","SW","TOM BOYD","UNIONVILLE","SR 1001","3.221","","108025090","2025-02-11","19","2","0","5","O"
"558","SIKES MILL","0.380","NE","UNIONVILLE","CLONTZ LONG","SR 1001","3.251","","105310167","2017-12-03","17","1","0","5","O"
"558","SR 1001","0.200","S","SR 1619","SR 1615","SR 1001","3.261","","105276432","2017-10-31","17","1","0","5","O"
"558","SR 1001","0.200","S","SR 1619","SR 1617","SR 1001","3.261","","105360672","2018-01-23","17","1","","5","O"
"0","SR 1001","0.200","S","SR 1619","SR 1615","SR 1001","3.261","","107272200","2023-03-14","17","1","0","5","O"
"558","SIKES MILL","0.190","S","TOM BOYD","UNIONVILLE","SR 1001","3.271","","107653449","2024-03-13","29","1","0","1","O"
"558","SIKES MILL","0.190","S","TOM BOYD","SIKES MILL","SR 1001","3.271","","104712202","2016-04-23","19","2","0","5","O"
"0","SR 1001","0.400","N","SR 1615","SR 1617","SR 1001","3.271","","105781091","2019-02-21","19","2","0","1","O"
"558","SR 1001","0.190","S","SR 1617","SR 1615","SR 1001","3.271","","105178491","2017-08-01","18","1","0","1","B"
"558","SIKES MILL","0.180","S","TOM BOYD","UNIONVILLE","SR 1001","3.281","","107631164","2024-02-22","17","1","0","3","O"
"558","SR 1001","0.100","S","SR 1617","SR 1615","SR 1001","3.361","","105324665","2017-12-13","17","1","0","5","O"
"558","SR 1001","0.100","S","SR 1619","SR 1615","SR 1001","3.361","","104793661","2016-07-12","19","1","0","1","B"
"08/18/2026","Page 10 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1001","0.500","E","SR 1615","SR 1611","SR 1001","3.371","","107210295","2023-01-09","17","1","0","1","O"
"558","SR 1001","0.500","E","SR 1615","SR 1617","SR 1001","3.371","","107011153","2022-07-07","19","1","0","1","O"
"0","SR 1001","0.700","S","SR 1606","SR 1640","SR 1001","3.394","","106325966","2020-08-19","29","1","2","1","O"
"558","SR 1001","0.066","S","SR 1617","SR 1615","SR 1001","3.395","","107405320","2023-07-21","17","1","0","1","O"
"558","SR 1001","0.038","S","SR 1617","US 601","SR 1001","3.423","","105964079","2019-08-15","19","2","0","5","O"
"558","SR 1001","0.030","S","SR 1617","SR 1615","SR 1001","3.431","","105208918","2017-09-01","27","3","0","1","C"
"558","SR 1001","0.019","S","SR 1617","","SR 1001","3.442","","105520583","2018-06-20","19","2","0","1","O"
"558","SR 1001","0.014","S","TOM BOYD","SR 1606","SR 1001","3.447","","105553349","2018-07-23","18","2","0","1","O"
"558","SIKES MILL","0.000","","TOM BOYD","UNIONVILLE","SR 1001","3.461","","107601791","2024-01-23","30","2","7","1","O"
"558","SIKES MILL","0.000","","TOM BOYD","UNIONVILLE","SR 1001","3.461","","106772984","2021-11-19","30","1","7","1","O"
"558","SIKES MILL","0.000","","TOM BOYD","LOVE MILL","SR 1001","3.461","","107870118","2024-10-03","30","1","7","1","O"
"558","SIKES MILL","0.000","","TOM BOYD","LAWYERS","SR 1001","3.461","","106133705","2020-01-23","30","1","7","1","O"
"558","SR 1001","0.000","","SR 1617","SR 1618","SR 1001","3.461","","108250468","2025-10-01","30","1","7","5","O"
"558","SR 1001","0.000","","SR 1617","SR 1606","SR 1001","3.461","","108279485","2025-10-23","30","1","7","1","C"
"558","SR 1001","0.000","","SR 1617","SR 1681","SR 1001","3.461","","107902086","2024-10-28","30","1","7","1","O"
"0","SR 1001","0.000","","SR 1617","","SR 1001","3.461","","106743409","2021-10-25","30","1","7","5","O"
"558","SR 1001","0.000","","SR 1617","SR 1615","SR 1001","3.461","","106286453","2020-07-25","30","1","7","1","C"
"0","SR 1001","0.000","","SR 1617","SR 1615","SR 1001","3.461","","105535858","2018-07-09","30","1","7","1","B"
"558","SR 1001","0.000","","SR 1617","SR 1681","SR 1001","3.461","","105326435","2017-12-16","30","1","7","1","A"
"558","SR 1001","0.000","","SR 1617","SR 1615","SR 1001","3.461","","105210461","2017-08-30","30","1","7","1","C"
"558","SR 1001","0.000","","SR 1617","SR 1615","SR 1001","3.461","","104890928","2016-10-10","30","1","7","1","C"
"558","SR 1001","0.000","","SR 1617","SR 1618","SR 1001","3.461","","104901954","2016-11-02","30","1","7","1","O"
"558","SR 1001","0.000","","SR 1617","SR 1615","SR 1001","3.461","","104987740","2017-01-25","30","1","7","1","B"
"0","SR 1001","0.000","","SR 1617","SR 1615","SR 1001","3.461","","104942804","2016-12-08","30","1","7","1","B"
"558","SR 1001","0.000","","SR 1619","SR 1618","SR 1001","3.461","","105363964","2018-01-26","30","1","7","5","C"
"558","SIKES MILL","0.005","N","TOM BOYD","LOVE MILL","SR 1001","3.466","","107945637","2024-12-04","21","1","7","1","C"
"558","SR 1001","0.005","N","SR 1617","SR 1637","SR 1001","3.466","","106126767","2020-01-13","21","2","7","1","O"
"558","SR 1001","0.200","N","SR 1617","SR 1637","SR 1001","3.661","","105191883","2017-08-14","24","1","4","1","O"
"558","SIKES MILL","0.230","NE","TOM BOYD","LAWYERS","SR 1001","3.691","","106477388","2021-01-26","17","2","0","5","O"
"558","SIKES MILL","0.280","N","TOM BOYD","LAWYERS","SR 1001","3.741","","107216209","2023-01-18","19","1","0","1","O"
"558","SIKES MILL","0.300","N","TOM BOYD","TOM HELMS","SR 1001","3.761","","107879671","2024-10-11","21","1","0","1","O"
"558","SR 1001","0.300","N","SR 1617","SR 1618","SR 1001","3.761","","105867607","2019-05-16","21","1","0","1","C"
"08/18/2026","Page 11 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SIKES MILL","0.330","N","TOM BOYD","OLD CAMDEN","SR 1001","3.791","","107187995","2022-12-18","17","1","0","5","O"
"0","SIKES MILL","1.000","N","UNIONVILLE","CLONTZ LONG","SR 1001","3.871","","108420507","2026-03-01","17","1","0","5","O"
"0","SIKES MILL","1.000","N","UNIONVILLE","CLONTZ LONG","SR 1001","3.871","","107319577","2023-04-02","17","1","0","5","O"
"558","SR 1001","0.500","N","SR 1617","SR 1618","SR 1001","3.961","","106435289","2020-12-13","19","1","0","5",""
"558","SR 1001","0.120","S","SR 1618","SR 1619","SR 1001","3.974","","108066712","2025-03-31","19","1","0","1","O"
"0","SIKES MILL","0.130","S","LAWYERS","TOM BOYD","SR 1001","3.980","","106083176","2019-12-04","17","1","0","5","O"
"558","SIKES MILL","0.110","S","TOM HELMS","TOM BOYD","SR 1001","3.984","","108072099","2025-04-08","29","1","0","1","O"
"558","SR 1001","0.100","S","SR 1618","SR 1617","SR 1001","3.994","","106743564","2021-10-27","17","1","0","1","O"
"558","SIKES MILL","0.095","S","LOVE MILL","TOM BOYD","SR 1001","4.015","","107319455","2023-03-07","17","1","0","1","O"
"558","SR 1001","0.600","N","SR 1617","SR 1637","SR 1001","4.061","","105317973","2017-12-04","19","1","0","1","O"
"558","SIKES MILL","0.028","S","TOM HELMS","TOM BOYD","SR 1001","4.066","","107181511","2022-12-15","19","2","10","1","O"
"558","SIKES MILL","0.000","","TOM HELMS","TOM BOYD","SR 1001","4.094","","108047061","2025-03-14","28","1","10","1","O"
"558","SIKES MILL","0.000","","TOM HELMS","PIEDMONT SCHOOL","SR 1001","4.094","","107101493","2022-10-06","28","1","10","1","O"
"558","SR 1001","0.000","","SR 1606","SR 1618","SR 1001","4.094","","107633193","2024-02-21","26","1","10","5","O"
"558","SR 1001","0.000","","SR 1618","SR 1693","SR 1001","4.094","","107587041","2024-01-06","26","1","10","5","O"
"558","TOM HELMS","0.000","","SIKES MILL","","SR 1001","4.094","","105402668","2018-03-06","30","2","10","1","O"
"558","SIKES MILL","0.005","N","TOM HELMS","HENRY SMITH","SR 1001","4.099","","108134024","2025-06-03","28","1","10","5","O"
"558","SIKES MILL","0.009","N","TOM HELMS","HENRY SMITH","SR 1001","4.103","","107554045","2023-11-28","28","1","10","5","O"
"0","SIKES MILL","2.000","N","CHANEY","UNIONVILLE","SR 1001","4.110","","108420506","2026-02-27","29","2","0","5","O"
"558","SIKES MILL","0.003","N","LAWYERS","LOVE MILL","SR 1001","4.110","","107472572","2023-09-29","28","1","10","1","O"
"558","SIKES MILL","0.190","N","LOVE MILL","HENRY SMITH","SR 1001","4.110","","107844522","2024-09-10","24","1","4","1","O"
"558","SR 1001","0.000","","SR 1637","LOVE MILL","SR 1001","4.110","","107495749","2023-10-19","28","1","10","5","O"
"558","SR 1001","0.000","","SR 1637","SR 1001","SR 1001","4.110","","105414221","2018-03-14","26","1","10","5","O"
"0","SR 1001","0.000","","SR 1637","SR 1606","SR 1001","4.110","","106532803","2021-03-31","26","1","10","1","O"
"558","SR 1001","0.000","","SR 1637","SR 1636","SR 1001","4.110","","105337648","2017-12-19","30","1","10","5","B"
"558","SR 1001","0.000","","SR 1637","SR 1001","SR 1001","4.110","","106482550","2021-02-05","32","1","10","5","O"
"558","SR 1001","0.000","","SR 1637","SR 1678","SR 1001","4.110","","105087246","2017-04-24","26","2","10","5","O"
"558","SR 1001","0.000","","SR 1637","SR 1001","SR 1001","4.110","","107563521","2023-12-13","28","1","10","5","O"
"558","SR 1001","0.100","NE","SR 1606","PIEDMONT SCHOOL","SR 1001","4.194","","104695165","2016-04-04","19","1","0","1","O"
"558","SR 1001","0.200","NE","SR 1606","PIEDMONT SCHOOL","SR 1001","4.294","","104987919","2017-01-26","29","1","0","1","O"
"0","SR 1001","0.200","N","SR 1637","SR 1674","SR 1001","4.310","","106017163","2019-10-02","23","1","0","1","O"
"558","LOVE MILL","0.150","W","PIEDMONT SCHOOL","SIKES MILL","SR 1001","4.454","","107442543","2023-08-30","21","2","0","1","O"
"08/18/2026","Page 12 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"558","SR 1001","0.750","S","SR 1638","SR 1688","SR 1001","4.476","","106194121","2020-03-24","17","1","0","5","O"
"0","SR 1001","0.700","S","SR 1638","SR 1674","SR 1001","4.526","","105670531","2018-11-05","20","2","0","1","O"
"558","LOVE MILL","0.000","","PIEDMONT SCHOOL","*LCL PURSER RUSHING ROAD ","SR 1001","4.604","","106755818","2021-11-08","26","1","8","1","O"
"558","LOVE MILL","0.000","","PIEDMONT SCHOOL","SIKES MILL","SR 1001","4.604","","106585376","2021-05-26","24","1","8","1","O"
"558","SR 1001","0.000","","SR 1668","DEAD END","SR 1001","4.604","","107215772","2023-01-11","26","1","8","5","C"
"558","SR 1001","0.035","N","SR 1668","SR 1674","SR 1001","4.639","","107121599","2022-10-22","26","1","0","1","O"
"558","LOVE MILL","0.095","NE","PIEDMONT SCHOOL","*LCL PURSER RUSHING RD ","SR 1001","4.699","","106705523","2021-09-23","21","1","0","1","O"
"558","SR 1001","0.085","S","SR 1674","SR 1606","SR 1001","4.713","","107518060","2023-11-01","29","1","0","1","O"
"558","SR 1001","0.100","N","SR 1674","SR 1638","SR 1001","4.898","","108010852","2025-02-04","23","1","0","1","O"
"558","SR 1001","0.100","N","SR 1674","SR 1638","SR 1001","4.898","","107890769","2024-10-20","17","1","0","5","O"
"558","SR 1001","0.300","S","SR 1638","SR 1674","SR 1001","4.926","","107423126","2023-08-12","17","1","0","5","O"
"558","SR 1001","0.200","E","SR 1674","SR 1638","SR 1001","4.998","","108279466","2025-10-23","17","1","0","1","O"
"558","SR 1001","0.100","S","SR 1638","SR 1674","SR 1001","5.126","","105260877","2017-10-15","19","1","0","5","O"
"558","SR 1001","0.100","S","SR 1638","SR 1674","SR 1001","5.126","","107149319","2022-11-16","17","1","0","5","O"
"558","SR 1001","0.100","S","SR 1638","SR 1674","SR 1001","5.126","","105748330","2019-01-20","18","1","0","5","O"
"558","SR 1001","0.014","S","SR 1638","SR 1674","SR 1001","5.212","","105196253","2017-08-18","31","1","0","5","O"
"558","SR 1001","0.000","","SR 1638","SR 1674","SR 1001","5.226","","105561390","2018-08-01","30","1","7","1","O"
"558","SR 1001","0.100","N","SR 1638","SR 1675","SR 1001","5.326","","108521472","2026-06-06","19","1","0","1","C"
"558","SR 1001","0.400","N","SR 1638","SR 1675","SR 1001","5.626","","105335407","2017-12-28","29","1","0","1","O"
"0","SR 1001","0.320","S","SR 1675","SR 1638","SR 1001","5.645","","105555467","2018-07-22","1","1","0","1","O"
"0","LOVE MILL","0.140","S","BRASSWELL RUSHING","HAIGLER BAUCOM","SR 1001","5.825","","106148368","2020-02-06","19","2","0","1","O"
"558","SR 1001","0.100","S","SR 1675","SR 1638","SR 1001","5.865","","105877759","2019-05-23","28","1","0","1","O"
"558","SR 1001","0.000","","SR 1675","SR 1654","SR 1001","5.965","","108055290","2025-03-21","17","1","8","5","O"
"0","SR 1001","0.095","S","SR 1654","SR 1675","SR 1001","6.136","","106893722","2022-03-16","17","1","0","1","O"
"558","SR 1001","0.200","N","SR 1675","SR 1654","SR 1001","6.165","","107329666","2023-05-08","21","1","0","1","O"
"558","SR 1001","0.200","N","SR 1675","GRASSY","SR 1001","6.165","","105545920","2018-07-18","24","1","5","1","O"
"558","LOVE MILL","0.210","NE","BRASSWELL RUSHING","GRASSY","SR 1001","6.175","","104863234","2016-09-23","19","1","0","6","C"
"558","SR 1001","0.000","","SR 1654","SR 1653","SR 1001","6.231","","107363964","2023-06-12","21","1","8","1","O"
"558","SR 1001","0.200","N","SR 1654","SR 1653","SR 1001","6.431","","108050644","2025-03-16","19","1","0","1","O"
"0","SR 1001","0.230","N","SR 1654","SR 1658","SR 1001","6.461","","105156270","2017-07-01","18","1","0","3","C"
"08/18/2026","Page 13 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1001","0.220","SE","SR 1653","SR 1654","SR 1001","6.470","","108275804","2025-10-19","19","1","0","1","O"
"0","SR 1001","0.200","SW","SR 1653","SR 1654","SR 1001","6.490","","105046828","2017-03-20","19","1","0","1",""
"558","LOVE MILL","0.000","","ZEBULON WILLIAMS","*LCL AGR NANCE ROAD ","SR 1001","6.690","","107319519","2023-03-20","23","1","8","1","C"
"0","SR 1001","0.000","","SR 1653","SR 1654","SR 1001","6.690","","106620818","2021-06-25","24","1","8","1","B"
"558","SR 1001","0.002","N","SR 1653","SR 1655","SR 1001","6.692","","107684157","2024-04-11","21","1","5","1","O"
"558","SR 1001","0.016","N","SR 1653","NC 218","SR 1001","6.706","","106263795","2020-06-30","19","1","0","1","O"
"0","SR 1001","0.500","N","AGR NANCE","ZEBULON WILLIAMS","SR 1001","6.731","","105635077","2018-10-11","17","1","0","5","O"
"558","LOVE MILL","0.058","N","ZEBULON WILLIAMS","HAGLER","SR 1001","6.748","","107006747","2022-07-05","29","1","0","1","C"
"637","SR 1001","0.900","N","SR 1654","SR 1610","SR 1001","7.131","","105778686","2019-02-11","5","2","0","1","C"
"558","SR 1001","0.000","","SR 1655","SR 1656","SR 1001","7.256","","107575087","2023-12-22","24","1","8","5","O"
"0","SR 1001","0.000","","SR 1655","SR 1656","SR 1001","7.256","","107127894","2022-10-28","19","1","0","1","C"
"0","SR 1001","0.000","","SR 1655","SR 1656","SR 1001","7.256","","105344475","2018-01-06","27","1","8","1","C"
"0","SR 1001","0.000","","SR 1656","SR 1655","SR 1001","7.279","","106846006","2022-01-27","24","1","8","1","O"
"0","SR 1001","0.019","N","SR 1656","NC 218","SR 1001","7.298","","105308467","2017-12-03","17","1","8","5","O"
"0","SR 1001","0.120","N","SR 1656","NC 218","SR 1001","7.399","","108066713","2025-03-31","19","1","0","5","C"
"0","SR 1001","0.400","S","NC 218","SR 1657","SR 1001","7.737","","106117344","2020-01-06","19","1","0","5","O"
"0","LOVE MILL","1.200","N","ZEBULON WILLIAMS","CARRIKER","SR 1001","7.890","","107535604","2023-11-21","17","2","0","5","O"
"558","LOVE MILL","0.000","","NC 218","HAGLER","SR 1001","8.137","","105472692","2018-05-04","21","1","7","1","O"
"0","LOVE MILL","0.000","","NC 218","","SR 1001","8.137","","106117028","2020-01-03","30","2","7","1","C"
"0","SR 1001","0.000","","NC 218","SR 1639","SR 1001","8.137","","107423069","2023-08-11","30","1","0","1","O"
"0","SR 1001","0.000","","NC 218","NC 200","SR 1001","8.137","","107384204","2023-06-30","30","1","7","5","C"
"0","SR 1001","0.000","","NC 218","SR 1639","SR 1001","8.137","","107214357","2023-01-15","30","1","7","1","B"
"0","SR 1001","0.000","","NC 218","SR 1655","SR 1001","8.137","","105414167","2018-02-23","23","1","7","5","O"
"0","SR 1001","0.000","","NC 218","SR 1547","SR 1001","8.137","","107456725","2023-09-12","30","1","7","1","C"
"558","SR 1001","0.300","N","NC 218","SR 1547","SR 1001","8.437","","105838344","2019-04-18","17","1","0","5","O"
"0","SR 1001","0.000","","SR 1639","NC 218","SR 1001","8.536","","108145851","2025-06-14","17","1","0","5","O"
"0","SR 1001","0.000","","SR 1639","NC 218","SR 1001","8.536","","107852234","2024-09-14","14","1","0","5","A"
"637","SR 1001","0.100","S","SR 1663","SR 1639","SR 1001","8.549","","106934042","2022-04-25","5","1","0","1","C"
"650","LOVE MILL","0.026","S","GREEN","SANTA CLAUS","SR 1001","8.623","","106457925","2021-01-07","5","1","0","1","C"
"650","SR 1001","0.500","N","NC 218","SR 1639","SR 1001","8.637","","104740509","2016-05-09","1","1","0","1","O"
"0","SR 1001","0.009","E","SR 1663","NC 218","SR 1001","8.658","","107330783","2023-05-06","17","1","0","5","O"
"650","SR 1001","0.100","N","SR 1663","SR 1664","SR 1001","8.749","","105964117","2019-08-13","19","2","0","1","O"
"08/18/2026","Page 14 of 21"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","SR 1001","0.800","S","SR 1664","SR 1663","SR 1001","8.845","","106283239","2020-07-21","29","1","0","1","O"
"0","SR 1001","0.750","N","NC 218","SANTA CLAUS","SR 1001","8.887","","105604627","2018-09-16","18","2","0","5","O"
"0","SR 1001","0.250","N","SR 1663","SR 1664","SR 1001","8.899","","107069209","2022-09-01","17","1","0","5","O"
"650","SR 1001","1.000","N","NC 218","SR 1664","SR 1001","9.137","","106286245","2020-07-21","17","1","0","1","O"
"0","SR 1001","1.000","NE","NC 218","SR 1639","SR 1001","9.137","","108021945","2025-02-02","19","1","0","1","C"
"0","SR 1001","0.700","N","SR 1663","SR 1664","SR 1001","9.349","","107665486","2024-03-23","17","1","0","5","O"
"0","SR 1001","0.200","S","SR 1664","SR 1663","SR 1001","9.445","","108045760","2025-03-12","17","1","0","1","O"
"0","SR 1001","0.110","S","SR 1664","SR 1663","SR 1001","9.535","","108001947","2025-01-24","17","1","0","5","O"
"0","SR 1001","0.300","N","SR 1664","CL-STANLY","SR 1001","9.945","","106138896","2020-01-27","19","1","0","1","C"
