"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"FAIRVIEW","SR 1606","1.0","S","SR 1547","NC 218","SR 1606","2.587","","105685863","2018-11-21","17","1","0","1","O","","",""
"RURAL","SR 1001","0.11","S","SR 1664","SR 1663","SR 1001","9.535","","108001947","2025-01-24","17","1","0","5","O","35.15048","-80.43733","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.1","W","SR 1620","NC 200","SR 1001","1.252","","105723366","2018-12-27","28","1","0","1","O","","",""
"RURAL","SR 1001","0.7","S","SR 1665","SR 1620","SR 1001","1.515","","105713041","2018-12-10","29","2","0","1","O","","",""
"UNIONVILLE","SR 1001","0.3","S","SR 1619","SR 1615","SR 1001","3.161","","106019966","2019-10-09","17","1","0","5","O","","",""
"RURAL","SR 1001","0.7","N","SR 1663","SR 1664","SR 1001","9.349","","107665486","2024-03-23","17","1","0","5","O","35.14715","-80.43895","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.0","","SR 1615","SR 1617","SR 1001","2.871","","106006697","2019-09-27","23","1","8","1","B","","",""
"UNIONVILLE","SR 1001","0.0","","SR 2713","SR 1665","SR 1001","2.525","","106017149","2019-10-08","24","1","8","1","B","","",""
"UNIONVILLE","SR 1606","0.1","S","SR 1678","SR 1001","SR 1606","5.896","","105783157","2019-02-20","26","2","0","1","O","","",""
"UNIONVILLE","SR 1001","0.5","S","SR 1665","SR 1620","SR 1001","1.715","","105778678","2019-02-13","17","1","0","1","O","","",""
"UNIONVILLE","SR 1638","0.0","","SR 1001","SR 1606","SR 1638","1.556","","106029698","2019-10-14","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.3","N","SR 1615","SR 1619","SR 1001","3.171","","106019965","2019-10-09","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.68","N","US 601","SR 1620","SR 1001","0.68","","105741595","2019-01-14","17","1","0","3","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1665","US 601","SR 1001","2.115","","105707364","2018-12-10","29","4","0","1","O","","",""
"UNIONVILLE","SR 1001","0.2","S","SR 1665","SR 1620","SR 1001","2.015","","105912752","2019-06-30","17","2","0","5","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","105842501","2019-04-20","21","1","7","1","O","","",""
"RURAL","SR 1606","3.0","N","SR 1006","SR 1627","SR 1606","999.999","","105850446","2019-04-29","19","1","0","3","A","35.038154","-80.476569","NCDOT_TSU"
"UNIONVILLE","SR 1617","0.028","W","SR 1001","SR 1615","SR 1617","0.512","","105885258","2019-06-04","29","1","0","1","O","","",""
"UNIONVILLE","NC 200","0.0","","SR 1606","SR 1633","NC 200","25.69","","105848333","2019-04-26","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.3","N","SR 1617","SR 1618","SR 1001","3.761","","105867607","2019-05-16","21","1","0","1","C","","",""
"RURAL","SR 1606","0.25","S","*LCL BIGGERS CEMETERY RD ","OLD FERRY","","999.999","","105935402","2019-07-22","29","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.004","NE","US 601","SR 1665","SR 1001","0.004","","106020271","2019-10-08","21","1","0","1","O","","",""
"RURAL","SR 1655","0.004","W","SR 1001","SR 1547","SR 1655","1.233","","105896304","2019-06-14","27","1","8","1","O","","",""
"UNIONVILLE","SR 1001","0.35","N","US 601","SR 1620","SR 1001","0.35","","105876758","2019-05-27","19","1","0","1","A","","",""
"FAIRVIEW","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","106062746","2019-11-15","30","2","7","1","O","","",""
"UNIONVILLE","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","106071236","2019-11-20","30","1","7","1","C","","",""
"RURAL","SR 1606","0.0","","SR 1547","NC 218","SR 1606","1.587","","105873568","2019-05-18","30","1","7","1","O","","",""
"RURAL","SR 1606","0.1","N","SR 1001","SR 1678","SR 1606","5.966","","106017162","2019-10-02","21","1","0","1","B","","",""
"RURAL","SR 1001","0.019","E","SR 1620","US 601","SR 1001","1.371","","106072796","2019-11-23","19","1","0","1","O","","",""
"UNIONVILLE","PIEDMONT SCHOOL","0.005","W","SR 1001","*LCL - ","","999.999","","105971602","2019-08-26","24","1","4","1","O","","",""
"UNIONVILLE","LOVE MILL","0.0","","PIEDMONT SCHOOL","SIKES MILL","SR 1001","4.604","","106585376","2021-05-26","24","1","8","1","O","","",""
"RURAL","SR 1001","0.4","N","SR 1615","SR 1617","SR 1001","3.271","","105781091","2019-02-21","19","2","0","1","O","","",""
"RURAL","SR 1606","0.0","","SR 2785","SR 1006","SR 1606","999.999","","105844523","2019-04-26","19","1","8","5","O","","",""
"RURAL","PVA 3006 SIKES MILL RD","0.004","E","SR 1001","DEAD END","","999.999","","105983673","2019-09-03","21","1","4","1","O","","",""
"RURAL","SR 1606","0.25","N","NC 200","PRESSON FARM","SR 1606","999.999","","106052165","2019-11-05","17","1","0","5","O","","",""
"UNIONVILLE","PVA MARATHON","0.019","W","SIKES MILL","","","999.999","","106303935","2020-08-12","20","1","4","1","O","","",""
"FAIRVIEW","SR 1606","0.1","S","SR 1607","SR 1547","SR 1606","1.184","","106121140","2020-01-10","19","1","0","1","","","",""
"FAIRVIEW","SR 1606","0.1","S","SR 1604","CL-STANLY","SR 1606","0.305","","106248459","2020-06-11","17","1","0","5","O","","",""
"UNIONVILLE","SR 1618","0.0","","SR 1606","SR 1001","SR 1618","0.0","","106096868","2019-12-12","26","1","10","1","C","","",""
"UNIONVILLE","SR 1619","0.38","E","SR 1001","SR 1681","SR 1619","0.38","","106111340","2019-12-24","23","1","0","1","B","","",""
"RURAL","SR 1606","0.0","","SR 1675","SR 1611","SR 1606","3.821","","106117532","2020-01-05","24","1","8","1","C","","",""
"UNIONVILLE","SR 1001","0.002","N","SR 1653","SR 1655","SR 1001","6.692","","107684157","2024-04-11","21","1","5","1","O","35.11676","-80.4641","DMV349CLEANED"
"RURAL","SR 1606","2.7","S","SR 1547","NC 218","SR 1606","4.287","","106169959","2020-02-25","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1615","SR 1001","3.461","","106286453","2020-07-25","30","1","7","1","C","","",""
"FAIRVIEW","SR 1606","0.1","S","SR 1547","NC 218","SR 1606","1.687","","106095719","2019-12-09","17","1","0","3","O","","",""
"RURAL","SR 1606","0.0","","NC 218","SR 1610","SR 1606","2.941","","106157650","2020-02-13","21","1","8","5","C","","",""
"RURAL","SR 1606","1.3","S","SR 1604","SR 1605","SR 1606","1.505","","106134680","2020-01-22","29","1","0","1","O","","",""
"FAIRVIEW","PVA 6609 SIKES MILL RD","0.028","W","SIKES MILL","","","999.999","","106254686","2020-06-19","31","1","4","1","O","","",""
"FAIRVIEW","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","106186515","2020-03-16","30","1","7","1","O","","",""
"RURAL","SR 1606","0.08","N","SR 1619","SR 1001","SR 1606","999.999","","106276502","2020-07-14","17","1","0","5","O","","",""
"RURAL","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","106277793","2020-07-14","30","1","7","1","C","","",""
"RURAL","NC 200","0.0","","SR 1606","SR 1627","NC 200","25.69","","106253848","2020-06-12","23","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.005","N","SR 1617","SR 1637","SR 1001","3.466","","106126767","2020-01-13","21","2","7","1","O","","",""
"UNIONVILLE","SR 1606","0.01","S","SR 1688","SR 1678","SR 1606","5.738","","107112659","2022-10-06","21","1","0","5","A","","",""
"UNIONVILLE","SR 1606","0.002","N","SR 1678","SR 1638","SR 1606","5.794","","106109136","2019-12-18","21","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.25","S","SR 1615","SR 2713","SR 1001","2.621","","106146785","2020-02-03","17","1","0","5","O","","",""
"RURAL","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","106219177","2020-05-01","30","1","7","5","O","","",""
"RURAL","SR 1001","0.0","","US 601","SR 1620","SR 1001","0.0","","106219230","2020-05-05","19","2","8","5","B","","",""
"UNIONVILLE","SR 1617","0.1","E","SR 1615","SR 1001","SR 1617","0.1","","106093727","2019-12-12","17","1","0","5","C","","",""
"RURAL","SR 1606","0.3","E","*LCL CAMDEN OAKS LN ","SR 1006","","999.999","","106214571","2020-04-30","29","1","1","1","O","","",""
"UNIONVILLE","SR 1618","0.006","W","SR 1606","SR 1615","SR 1618","0.006","","106093757","2019-12-12","21","1","10","1","O","","",""
"UNIONVILLE","SIKES MILL","0.38","NE","UNIONVILLE","CLONTZ LONG","SR 1001","3.251","","105310167","2017-12-03","17","1","0","5","O","","",""
"UNIONVILLE","SR 1606","0.6","W","SR 1619","SR 1637","SR 1606","999.999","","106249008","2020-06-11","19","2","0","1","O","","",""
"UNIONVILLE","NC 200","0.0","","SR 1606","SR 1633","NC 200","25.69","","106326117","2020-09-02","30","1","7","1","B","","",""
"RURAL","NC 218","0.006","E","SR 1001","NC 200","NC 218","9.792","","106370455","2020-10-17","23","1","7","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","106362077","2020-10-05","30","1","7","1","O","","",""
"RURAL","SR 1001","0.0","","US 601","DEAD END","SR 1001","0.0","","106345655","2020-09-14","30","1","8","5","A","","",""
"RURAL","SR 1001","1.0","S","SR 1620","SPRING LAKE","SR 1001","0.352","","106392203","2020-11-01","19","2","0","5","O","","",""
"UNIONVILLE","SR 1001","0.009","N","SR 2713","SR 1615","SR 1001","2.534","","106393731","2020-11-04","17","1","0","3","O","","",""
"UNIONVILLE","SR 1606","0.0","","SR 1618","SR 1681","SR 1606","6.066","","106388383","2020-10-30","26","1","10","5","O","","",""
"RURAL","SR 1606","0.19","S","SR 1637","SR 1619","SR 1606","6.066","","107028892","2022-07-24","14","1","0","1","A","35.085832","-80.493478","VHB_PEDBIKE"
"RURAL","SR 1606","0.6","N","SR 1678","SR 1638","SR 1606","5.196","","106432490","2020-12-09","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1615","SR 1619","SR 1001","2.871","","106467658","2021-01-18","23","1","8","1","O","","",""
"NEW SALEM","SR 1664","0.0","","SR 1001","SR 1663","SR 1664","0.0","","106462130","2021-01-09","24","1","8","1","C","","",""
"UNIONVILLE","SR 1606","0.25","N","SR 1638","SR 1615","SR 1606","4.766","","106462109","2021-01-12","19","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.5","N","SR 1617","SR 1618","SR 1001","3.961","","106435289","2020-12-13","19","1","0","5","","","",""
"NEW SALEM","SR 1606","1.0","N","NC 218","SR 1547","SR 1606","1.941","","106491238","2021-02-16","17","2","0","1","O","","",""
"UNIONVILLE","SR 1606","0.0","","SR 1618","SR 1619","SR 1606","6.066","","106509401","2021-03-05","26","1","10","5","O","","",""
"RURAL","SR 1001","0.19","N","SPRING LAKE","SR 1620","SR 1001","1.075","","108256185","2025-10-05","17","1","0","1","O","35.05456","-80.52333","DMV349CLEANED"
"UNIONVILLE","NC 218","0.0","","SR 1001","CYRUS LEE","NC 218","9.786","","106521629","2021-03-21","22","1","7","1","B","","",""
"UNIONVILLE","SR 1606","0.3","S","SR 1678","SR 1618","SR 1606","6.066","","106581212","2021-05-21","21","1","0","1","C","","",""
"UNIONVILLE","PVA MARATHON","0.019","W","SIKES MILL","","","999.999","","106584227","2021-05-25","31","1","4","1","O","","",""
"MONROE","SR 1001","0.37","NE","SR 1620","SR 1665","SR 1001","1.722","","106547429","2021-04-16","19","1","0","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","106554754","2021-04-22","21","1","7","1","C","","",""
"UNIONVILLE","SR 1001","0.1","N","SR 1665","SR 2713","SR 1001","2.315","","106572777","2021-05-11","29","1","0","1","C","","",""
"RURAL","SR 1001","1.0","N","US 601","SR 1620","SR 1001","1.0","","106572928","2021-05-11","19","1","0","1","C","","",""
"UNIONVILLE","SR 1627","0.0","","SR 1606","SR 1633","SR 1627","1.256","","106592205","2021-06-02","30","1","7","5","C","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1609","NC 218","8.082","","106620331","2021-06-24","30","1","7","1","A","","",""
"FAIRVIEW","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","106655032","2021-08-04","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.25","S","SR 1665","SR 1620","SR 1001","1.965","","106709721","2021-09-21","27","3","4","1","B","","",""
"UNIONVILLE","SIKES MILL","0.038","N","CLONTZ LONG","*LCL TYLER RIDGE CT ","SIKES MILL","999.999","","107553868","2023-12-02","17","1","0","5","O","","",""
"UNIONVILLE","US 601","0.0","","SR 1001","SR 1504","US 601","18.007","","105644357","2018-10-16","24","1","8","1","C","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1639","NC 218","9.786","","106759634","2021-11-05","30","1","7","1","O","","",""
"RURAL","SR 1001","0.0","","SR 1617","","SR 1001","3.461","","106743409","2021-10-25","30","1","7","5","O","","",""
"UNIONVILLE","SR 1001","0.1","N","SR 1665","SR 2713","SR 1001","2.315","","106678989","2021-08-29","29","1","0","1","O","","",""
"UNIONVILLE","SR 1606","0.21","S","SR 1611","SR 1615","SR 1606","4.219","","107562167","2023-12-13","29","1","0","5","O","35.11529","-80.48699","DMV349CLEANED"
"UNIONVILLE","LOVE MILL","0.0","","ZEBULON WILLIAMS","*LCL AGR NANCE ROAD ","SR 1001","6.69","","107319519","2023-03-20","23","1","8","1","C","","",""
"UNIONVILLE","PIEDMONT SCHOOL","0.019","N","LOVE MILL","DEAD END","","999.999","","107528155","2023-11-14","21","1","12","1","O","","",""
"UNIONVILLE","PVA MARATHON GAS","0.019","W","SR 1001","DEAD END","","999.999","","106747056","2021-10-29","31","1","0","1","O","","",""
"UNIONVILLE","SR 1606","0.0","","NC 200","SR 1627","SR 1606","999.999","","106732357","2021-10-17","30","1","7","1","C","","",""
"UNIONVILLE","SR 1001","0.2","NE","SR 1615","SR 1619","SR 1001","3.071","","107287148","2023-03-21","18","1","0","5","O","","",""
"UNIONVILLE","US 601","0.0","","SR 1001","SR 1505","US 601","18.007","","104721418","2016-04-25","24","1","8","1","O","","",""
"RURAL","SR 1606","1.2","N","SR 1006","SR 1627","SR 1606","999.999","","106782341","2021-11-26","17","1","0","5","O","","",""
"RURAL","US 601","0.0","","SIKES MILL","MAPLE HILL","US 601","18.007","","105212692","2017-08-24","23","1","7","5","C","","",""
"UNIONVILLE","SIKES MILL","0.38","NE","BAUCOM","CHANEY","SR 1001","1.732","","107720690","2024-05-16","19","1","0","3","O","","",""
"FAIRVIEW","NC 218","0.0","","SR 1001","SR 1610","NC 218","9.786","","107287156","2023-03-28","30","1","7","1","B","","",""
"RURAL","NC 218","0.0","","SR 1001","NC 200","NC 218","9.786","","106880793","2022-03-05","30","1","7","1","B","","",""
"RURAL","SR 1001","0.19","N","SR 1620","SR 1665","SR 1001","1.542","","106844875","2022-01-27","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.1","N","SR 1674","SR 1638","SR 1001","4.898","","107890769","2024-10-20","17","1","0","5","O","35.098165","-80.43696","DMV349CLEANED"
"UNIONVILLE","SR 1001","0.3","W","SR 1619","SR 1615","SR 1001","3.161","","106922517","2022-04-15","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.029","N","BAUCOM","CHANEY","SR 1001","1.381","","106254958","2020-06-19","19","1","8","1","C","","",""
"RURAL","SIKES MILL","1.35","S","BAUCOM","US 601","SR 1001","0.002","","106252525","2020-06-07","19","1","8","5","O","","",""
"UNIONVILLE","TOM BOYD","0.16","NE","OLD CAMDEN","*LCL LATHAM WOODS DR ","","999.999","","106910957","2022-04-04","17","1","0","5","O","","",""
"RURAL","SR 1001","0.0","","US 601","SR 1504","SR 1001","0.0","","106852598","2022-02-05","19","1","8","5","O","","",""
"RURAL","SR 1547","0.0","","SR 1606","SR 1607","SR 1547","2.101","","106800779","2021-12-11","30","1","7","1","C","","",""
"RURAL","SR 1001","0.052","N","SR 1665","SR 2713","SR 1001","2.267","","106807050","2021-12-18","5","1","0","5","C","","",""
"UNIONVILLE","SR 1606","0.0","","SR 1618","SR 1001","SR 1606","6.066","","106871624","2022-02-17","26","1","10","1","O","","",""
"UNIONVILLE","SR 1606","0.2","S","SR 1638","SR 1618","SR 1606","5.216","","107149014","2022-11-12","17","1","0","1","O","","",""
"UNIONVILLE","US 601","0.0","","SIKES MILL","RIDGE","US 601","18.007","","106925270","2022-04-18","24","1","8","1","O","","",""
"UNIONVILLE","SR 1001","0.5","E","SR 1615","SR 1617","SR 1001","3.371","","107011153","2022-07-07","19","1","0","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1606","NC 218","9.786","","107011234","2022-07-08","30","1","7","1","C","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1606","NC 218","9.786","","107011232","2022-07-08","28","1","7","1","B","","",""
"UNIONVILLE","SR 1606","0.4","S","SR 1615","SR 1678","SR 1606","4.991","","106958785","2022-05-16","21","1","8","1","C","","",""
"UNIONVILLE","LOVE MILL","0.0","","NC 218","HAGLER","SR 1001","8.137","","105472692","2018-05-04","21","1","7","1","O","","",""
"UNIONVILLE","SR 1606","0.2","SW","SR 1611","SR 1615","SR 1606","4.209","","106998073","2022-06-25","19","1","0","1","B","","",""
"RURAL","SR 1001","0.0","","SR 1604","SR 1547","SR 1001","999.999","","104914991","2016-11-13","17","1","0","1","O","","",""
"FAIRVIEW","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107059898","2022-08-29","30","1","7","3","O","","",""
"UNIONVILLE","PVA PIEDMONT HIGH SCHOOL","0.004","E","SR 1606","SR 1678","","999.999","","107118944","2022-10-13","31","1","4","1","O","","",""
"RURAL","NC 218","0.0","","SR 1001","SR 1547","NC 218","9.786","","107040279","2022-08-03","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.01","N","SR 1665","SR 1615","SR 1001","2.225","","107059684","2022-08-28","19","1","0","1","","","",""
"FAIRVIEW","SR 1606","0.0","","SR 1547","NC 218","SR 1606","1.587","","106990488","2022-06-16","30","1","7","1","O","","",""
"RURAL","SR 1001","0.4","S","NC 218","SR 1657","SR 1001","7.737","","106117344","2020-01-06","19","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.016","N","SR 1653","NC 218","SR 1001","6.706","","106263795","2020-06-30","19","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.035","N","SR 1668","SR 1674","SR 1001","4.639","","107121599","2022-10-22","26","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.3","S","SR 1615","SR 2713","SR 1001","2.571","","107054448","2022-08-16","29","1","0","1","O","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1547","NC 218","8.082","","107122762","2022-10-20","30","1","7","1","O","","",""
"RURAL","SR 1606","0.0","","SR 1547","SR 1607","SR 1606","1.587","","107089024","2022-09-22","30","1","7","1","B","","",""
"UNIONVILLE","SR 1001","0.005","N","US 601","SR 1620","SR 1001","0.005","","107088923","2022-09-21","21","1","8","1","O","","",""
"RURAL","SR 1606","0.1","S","SR 1607","SR 1605","SR 1606","1.184","","107119047","2022-10-22","17","1","0","5","O","","",""
"RURAL","SR 1001","0.3","N","SR 1620","SR 1665","SR 1001","1.652","","107125512","2022-10-27","27","1","0","5","C","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1678","SR 1676","SR 1001","999.999","","105623790","2018-09-27","26","1","0","1","O","","",""
"RURAL","SR 1001","0.1","E","ZEPHYR","SR 1794","SR 1001","999.999","","106364269","2020-10-08","29","1","0","1","O","","",""
"UNIONVILLE","SR 1606","0.4","S","SR 1638","SR 1001","SR 1606","5.416","","107082969","2022-09-16","27","1","0","1","A","","",""
"FAIRVIEW","NC 218","0.0","","SIKES MILL","BRIEF","NC 218","8.082","","107035876","2022-08-04","30","1","7","1","C","","",""
"RURAL","SR 1001","0.5","N","SR 1665","SR 1615","SR 1001","2.715","","107158545","2022-11-24","17","1","0","5","O","","",""
"RURAL","NC 218","0.0","","SR 1606","SR 1610","NC 218","8.082","","107139136","2022-11-07","30","1","7","5","O","","",""
"RURAL","NC 218","0.0","","SR 1606","SR 1001","NC 218","8.082","","107194746","2022-12-27","21","1","7","5","C","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1668","DEAD END","SR 1001","4.604","","107215772","2023-01-11","26","1","8","5","C","","",""
"UNIONVILLE","SIKES MILL","0.28","N","TOM BOYD","LAWYERS","SR 1001","3.741","","107216209","2023-01-18","19","1","0","1","O","","",""
"RURAL","SR 1001","0.5","E","SR 1615","SR 1611","SR 1001","3.371","","107210295","2023-01-09","17","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.5","S","BAUCOM","US 601","SR 1001","0.852","","104938752","2016-12-06","17","1","0","5","O","","",""
"RURAL","NC 218","0.028","W","LOVE MILL","BRIEF","NC 218","9.758","","107144129","2022-11-13","17","1","0","5","O","","",""
"FAIRVIEW","NC 218","0.0","","SIKES MILL","BRIEF","NC 218","8.082","","107183135","2022-12-16","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.25","N","BAUCOM","SPRING LAKE","SR 1001","1.602","","107128674","2022-10-31","21","1","0","1","C","","",""
"UNIONVILLE","SR 1001","0.014","S","TOM BOYD","SR 1606","SR 1001","3.447","","105553349","2018-07-23","18","2","0","1","O","","",""
"RURAL","SR 1001","0.5","N","AGR NANCE","ZEBULON WILLIAMS","SR 1001","6.731","","105635077","2018-10-11","17","1","0","5","O","","",""
"FAIRVIEW","SR 1604","0.0","","SR 1606","CL-STANLY","SR 1604","0.0","","107178464","2022-11-30","24","2","8","5","C","","",""
"UNIONVILLE","SR 1001","0.004","N","SPRING LAKE","SR 1620","SR 1001","0.889","","106976262","2022-06-02","19","1","0","5","C","","",""
"UNIONVILLE","SR 1617","0.2","SE","SR 1615","SR 1001","SR 1617","0.2","","107295872","2023-04-05","17","1","0","5","O","","",""
"RURAL","SR 1001","0.2","SW","SR 1653","SR 1654","SR 1001","6.49","","105046828","2017-03-20","19","1","0","1","","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1637","SR 1678","SR 1001","4.11","","105087246","2017-04-24","26","2","10","5","O","","",""
"RURAL","SR 1001","0.2","N","SR 1637","SR 1674","SR 1001","4.31","","106017163","2019-10-02","23","1","0","1","O","","",""
"RURAL","SR 1001","0.057","S","SR 1611","SR 1615","SR 1001","999.999","","106496450","2021-02-22","17","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1637","SR 1001","SR 1001","4.11","","106482550","2021-02-05","32","1","10","5","O","","",""
"NEW SALEM","SR 1001","1.0","N","NC 218","SR 1664","SR 1001","9.137","","106286245","2020-07-21","17","1","0","1","O","","",""
"RURAL","SR 1001","0.1","S","SR 1610","SR 1655","SR 1001","999.999","","106078976","2019-11-30","17","1","0","5","O","","",""
"RURAL","SR 1001","0.0","","NC 218","SR 1655","SR 1001","8.137","","105414167","2018-02-23","23","1","7","5","O","","",""
"RURAL","SR 1001","0.25","N","SR 1663","SR 1664","SR 1001","8.899","","107069209","2022-09-01","17","1","0","5","O","","",""
"RURAL","SR 1001","0.0","","SR 1655","SR 1656","SR 1001","7.256","","105344475","2018-01-06","27","1","8","1","C","","",""
"UNIONVILLE","SIKES MILL","0.33","N","TOM BOYD","OLD CAMDEN","SR 1001","3.791","","107187995","2022-12-18","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.4","N","SR 1638","SR 1675","SR 1001","5.626","","105335407","2017-12-28","29","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.095","S","HAIGLER BAUCOM","HENRY SMITH","SIKES MILL","999.999","","106918739","2022-04-11","19","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1638","SR 1674","SR 1001","5.126","","105748330","2019-01-20","18","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1618","SR 1617","SR 1001","3.994","","106743564","2021-10-27","17","1","0","1","O","","",""
"RURAL","SR 1001","0.7","S","SR 1638","SR 1674","SR 1001","4.526","","105670531","2018-11-05","20","2","0","1","O","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1688","SR 1674","SR 1001","999.999","","105820903","2019-04-02","19","4","0","1","O","","",""
"RURAL","SR 1001","0.0","","SR 1655","SR 1656","SR 1001","7.256","","107127894","2022-10-28","19","1","0","1","C","","",""
"UNIONVILLE","SIKES MILL","0.028","S","TOM HELMS","TOM BOYD","SR 1001","4.066","","107181511","2022-12-15","19","2","10","1","O","","",""
"RURAL","SR 1001","0.32","S","SR 1675","SR 1638","SR 1001","5.645","","105555467","2018-07-22","1","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.0","","BAUCOM","US 601","SR 1001","1.352","","107030009","2022-07-29","13","1","8","1","O","","",""
"RURAL","SIKES MILL","0.095","S","CHANEY","BAUCOM","SR 1001","2.12","","105302586","2017-11-28","17","1","0","5","O","","",""
"UNIONVILLE","LOVE MILL","0.21","NE","BRASSWELL RUSHING","GRASSY","SR 1001","6.175","","104863234","2016-09-23","19","1","0","6","C","","",""
"UNIONVILLE","SR 1001","0.2","N","SR 1675","GRASSY","SR 1001","6.165","","105545920","2018-07-18","24","1","5","1","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1610","SR 1601","SR 1001","999.999","","104726807","2016-05-08","23","1","5","5","A","35.126039","-80.479625","ITRE_SEVEREINJURY"
"UNIONVILLE","SR 1001","0.1","N","SR 1628","SR 1631","SR 1001","999.999","","105062524","2017-04-03","30","2","0","1","C","","",""
"NEW SALEM","SR 1001","0.5","N","NC 218","SR 1639","SR 1001","8.637","","104740509","2016-05-09","1","1","0","1","O","","",""
"UNIONVILLE","SIKES MILL","0.019","S","BAUCOM","SPRING LAKE","SR 1001","1.333","","106776645","2021-11-19","17","1","0","5","O","","",""
"UNIONVILLE","SIKES MILL","0.12","NE","UNIONVILLE","TOM BOYD","SR 1001","2.991","","106000270","2019-09-21","19","1","0","1","O","","",""
"UNIONVILLE","LOVE MILL","0.0","","PIEDMONT SCHOOL","*LCL PURSER RUSHING ROAD ","SR 1001","4.604","","106755818","2021-11-08","26","1","8","1","O","","",""
"RURAL","SIKES MILL","0.2","S","OLD FERRY","BRIEF","SIKES MILL","999.999","","106023012","2019-10-15","17","1","0","5","O","","",""
"UNIONVILLE","TOM HELMS","0.0","","SIKES MILL","","SR 1001","4.094","","105402668","2018-03-06","30","2","10","1","O","","",""
"UNIONVILLE","SIKES MILL","0.0","","PIEDMONT SCHOOL","HENRY SMITH","SIKES MILL","999.999","","105787598","2019-02-28","24","1","8","1","C","","",""
"RURAL","SIKES MILL","0.13","S","LAWYERS","TOM BOYD","SR 1001","3.98","","106083176","2019-12-04","17","1","0","5","O","","",""
"UNIONVILLE","LOVE MILL","0.2","NE","SIKES MILL","*LCL PURSER RUSHING RD ","LOVE MILL","999.999","","105536078","2018-07-09","17","1","0","2","O","","",""
"RURAL","SR 1001","0.15","W","SR 1753","SR 1754","SR 1001","999.999","","105518601","2018-06-16","19","1","0","1","O","","",""
"NEW SALEM","SR 1672","0.0","","SR 1001","","SR 1672","999.999","","105067773","2017-04-03","19","1","8","1","O","","",""
"UNIONVILLE","SR 1001","0.2","NE","SR 1606","PIEDMONT SCHOOL","SR 1001","4.294","","104987919","2017-01-26","29","1","0","1","O","","",""
"FAIRVIEW","SIKES MILL","0.076","S","OLD FERRY","BRIEF","SIKES MILL","999.999","","106285749","2020-07-24","29","2","0","1","O","","",""
