"Municipality","On Road","Miles","Dir From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S","Latitude","Longitude","Source"
"UNIONVILLE","LOVE MILL","0.095","NE","PIEDMONT SCHOOL","*LCL PURSER RUSHING RD ","SR 1001","4.699","","106705523","2021-09-23","21","1","0","1","O","","",""
"RURAL","LOVE MILL","0.0","","NC 218","","SR 1001","8.137","","106117028","2020-01-03","30","2","7","1","C","","",""
"RURAL","SIKES MILL","0.74","SW","SPRING LAKE","US 601","SR 1001","0.145","","104717808","2016-04-26","21","1","12","1","O","","",""
"RURAL","SR 1606","0.04","N","SR 1654","SR 1610","SR 1606","3.539","","107733744","2024-05-27","19","1","0","1","O","35.12204","-80.47925","DMV349CLEANED"
"UNIONVILLE","SR 1606","0.3","E","SR 1619","NC 200","SR 1606","999.999","","107329736","2023-05-07","19","1","0","5","A","35.063101","-80.489374","NCDOT_TSU"
"UNIONVILLE","SIKES MILL","0.005","N","TOM BOYD","LOVE MILL","SR 1001","3.466","","107945637","2024-12-04","21","1","7","1","C","","",""
"UNIONVILLE","SIKES MILL","0.21","N","UNIONVILLE","TOM BOYD","SR 1001","3.081","","107483858","2023-10-06","17","1","0","2","O","","",""
"UNIONVILLE","SIKES MILL","0.003","N","LAWYERS","LOVE MILL","SR 1001","4.11","","107472572","2023-09-29","28","1","10","1","O","","",""
"UNIONVILLE","PVA 3006 SIKES MILL RD","0.018","E","SR 1606","SR 1001","","999.999","","107844251","2024-09-05","31","1","0","1","O","35.09455","-80.4927","DMV349"
"UNIONVILLE","SR 1619","0.009","E","SR 2116","SR 1681","SR 1619","999.999","","107278206","2023-03-21","29","1","0","1","O","35.079021","-80.497504","ITRE_CMV"
"RURAL","SR 1001","0.5","N","SR 2713","SR 1615","SR 1001","3.025","","104716998","2016-04-22","17","1","0","5","O","","",""
"UNIONVILLE","SR 1606","0.0","","SR 1606","","SR 1606","999.999","","104720551","2016-05-01","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1675","SR 1638","SR 1001","5.865","","105877759","2019-05-23","28","1","0","1","O","","",""
"UNIONVILLE","SR 1606","0.2","S","SR 1605","SR 1638","SR 1606","999.999","","104772437","2016-06-22","17","1","0","5","O","","",""
"UNIONVILLE","SR 1638","0.0","","SR 1001","SR 1638","SR 1638","1.556","","104762571","2016-06-08","30","1","7","1","O","","",""
"UNIONVILLE","SR 1617","0.0","","SR 1001","","SR 1617","0.54","","104716467","2016-04-27","30","1","7","1","O","","",""
"FAIRVIEW","SR 1606","0.004","N","NC 218","SR 1547","SR 1606","2.937","","104726358","2016-05-07","19","1","0","5","C","","",""
"RURAL","NC 218","0.0","","SR 1606","SR 1001","NC 218","8.082","","104805272","2016-07-30","30","1","7","1","C","","",""
"UNIONVILLE","SR 1001","0.1","S","SR 1619","SR 1615","SR 1001","3.361","","104793661","2016-07-12","19","1","0","1","B","","",""
"RURAL","SR 1001","0.23","N","SR 1654","SR 1658","SR 1001","6.461","","105156270","2017-07-01","18","1","0","3","C","","",""
"UNIONVILLE","SR 1611","0.019","SW","SR 1001","SR 1640","SR 1611","999.999","","104711866","2016-04-24","17","1","","5","O","","",""
"UNIONVILLE","*PP 1518 TOM BOYD RD ","0.014","W","SR 1619","*LCL - ","","999.999","","104698395","2016-04-09","31","1","5","5","O","","",""
"UNIONVILLE","TOM BOYD","0.024","SE","*LCL LATHAN WOODS DR ","OLD CAMDEN","","999.999","","104734401","2016-05-12","21","2","5","5","O","","",""
"FAIRVIEW","SIKES MILL","0.019","S","OLD FERRY","BRIEF","SIKES MILL","999.999","","106029162","2019-10-18","29","1","0","3","C","","",""
"UNIONVILLE","SIKES MILL","0.19","S","HENRY SMITH","TOM HELMS","SIKES MILL","999.999","","106612846","2021-06-30","21","1","0","1","C","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1547","NC 218","8.082","","104866502","2016-09-30","24","1","7","5","A","","",""
"RURAL","SR 1001","0.008","N","US 601","SR 1620","SR 1001","0.008","","104867496","2016-09-30","19","1","8","5","O","","",""
"UNIONVILLE","PVA PIEDMONT HIGH SCHOOL","0.017","W","SR 1001","DEAD END","","999.999","","104950470","2016-12-12","21","1","4","1","O","","",""
"UNIONVILLE","SR 1606","0.002","S","SR 1611","SR 1615","SR 1606","4.011","","104963318","2016-12-27","21","1","8","1","A","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1609","NC 218","8.082","","104984617","2017-01-23","30","1","7","1","C","","",""
"RURAL","SR 1606","0.5","N","SR 1006","SR 1627","SR 1606","999.999","","104914987","2016-11-12","19","1","0","5","A","35.038986","-80.476556","ITRE_SEVEREINJURY"
"UNIONVILLE","SR 1606","0.0","","SR 1618","SR 1606","SR 1606","6.066","","104942525","2016-12-09","26","1","10","1","C","","",""
"NEW SALEM","NC 218","0.028","E","SR 1001","NC 200","NC 218","9.814","","104859857","2016-09-20","21","1","0","1","O","","",""
"RURAL","SR 1001","0.003","E","US 601","SR 1620","SR 1001","0.003","","105007511","2017-02-11","27","1","8","5","B","","",""
"RURAL","SR 1001","0.4","S","SR 1615","SR 1638","SR 1001","2.471","","104946035","2016-12-10","21","1","0","5","C","","",""
"UNIONVILLE","SR 1619","0.0","","SR 1001","SR 1606","SR 1619","0.0","","104898405","2016-10-31","30","1","7","1","C","","",""
"UNIONVILLE","SR 1618","0.014","W","SR 1606","SR 2776","SR 1618","0.014","","105139371","2017-06-12","19","1","10","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1637","SR 1001","SR 1001","4.11","","107563521","2023-12-13","28","1","10","5","O","35.08894","-80.49375","DMV349CLEANED"
"RURAL","SR 1001","0.0","","SR 1617","SR 1615","SR 1001","3.461","","104942804","2016-12-08","30","1","7","1","B","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1615","SR 1001","3.461","","104987740","2017-01-25","30","1","7","1","B","","",""
"FAIRVIEW","NC 218","0.0","","SR 1606","SR 1657","NC 218","8.082","","104997979","2017-02-01","30","1","7","5","B","","",""
"RURAL","SR 1001","0.1","N","SR 1665","SR 2713","SR 1001","2.315","","104942809","2016-12-07","1","1","5","5","O","","",""
"UNIONVILLE","SR 1606","0.009","N","SR 1615","SR 1611","SR 1606","4.582","","105132992","2017-06-11","17","1","0","5","O","","",""
"FAIRVIEW","NC 218","0.009","E","SR 1606","SR 1547","NC 218","8.091","","105152445","2017-07-06","21","1","7","1","O","","",""
"FAIRVIEW","SR 1606","0.0","","NC 218","SR 1609","SR 1606","2.941","","105168368","2017-07-21","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1618","SR 1001","3.461","","104901954","2016-11-02","30","1","7","1","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1617","SR 1615","SR 1001","3.461","","104890928","2016-10-10","30","1","7","1","C","","",""
"FAIRVIEW","NC 218","0.001","W","SR 1606","SR 1609","NC 218","8.081","","104866396","2016-09-30","32","1","7","5","O","","",""
"RURAL","SR 1606","0.5","W","SR 1627","NC 200","SR 1606","999.999","","104877259","2016-10-12","29","1","0","1","O","","",""
"UNIONVILLE","NC 218","0.0","","SR 1606","SR 1111","NC 218","8.082","","104905109","2016-11-06","30","1","7","1","C","","",""
"UNIONVILLE","NC 218","0.0","","SR 1606","SR 1547","NC 218","8.082","","105178395","2017-07-29","30","1","7","5","O","","",""
"UNIONVILLE","SR 1001","0.19","S","SR 1617","SR 1615","SR 1001","3.271","","105178491","2017-08-01","18","1","0","1","B","","",""
"UNIONVILLE","SR 1606","0.1","S","SR 1654","SR 1675","SR 1606","3.679","","105220541","2017-09-11","19","2","0","5","O","","",""
"RURAL","SR 1606","0.1","N","NC 218","SR 1547","SR 1606","2.841","","105201844","2017-08-22","29","1","0","1","O","","",""
"UNIONVILLE","SR 1001","0.03","S","SR 1617","SR 1615","SR 1001","3.431","","105208918","2017-09-01","27","3","0","1","C","","",""
"NEW SALEM","NC 218","0.0","","SR 1001","CYRUS LEE","NC 218","9.786","","105125636","2017-06-04","21","1","12","1","O","","",""
"FAIRVIEW","NC 218","0.014","W","SR 1001","SR 1609","NC 218","9.772","","105062907","2017-04-03","23","1","0","1","O","","",""
"RURAL","SR 1606","0.1","S","SR 1617","SR 1634","SR 1606","999.999","","104922359","2016-11-17","17","1","0","5","O","","",""
"UNIONVILLE","SR 1001","0.0","","SR 1665","SR 1615","SR 1001","2.215","","105137812","2017-06-19","19","1","8","1","O","","",""
"RURAL","SR 1606","0.2","S","SR 1547","SR 1607","SR 1606","1.787","","104980363","2017-01-18","29","1","0","1","A","","",""
