CRASH ID|ON RD CD|SVRTY|DATE|TYPE|
104677590|30000581|1|03/16/2016 11:54|27|
104713233|30000581|5|04/21/2016 20:44|21|
105113604|30000581|2|05/25/2017 19:37|22|
105269484|30000581|5|10/29/2017 10:01|21|
105353532|30000581|5|01/15/2018 15:43|23|
105414668|30000581|4|03/14/2018 17:09|21|
105475061|40001960|4|05/04/2018 23:40|30|
105598492|30000581|4|09/05/2018 17:44|21|
105947840|30000581|5|07/30/2019 08:41|23|
106128912|30000581|5|01/05/2020 12:24|30|
106127274|30000581|5|01/05/2020 12:56|19|
106229531|30000581|4|05/14/2020 09:02|30|
106501836|30000581|3|02/24/2021 15:45|23|
106827603|40001960|2|01/07/2022 19:08|30|
107139043|30000581|5|11/08/2022 02:16|30|
107206288|30000581|5|01/04/2023 19:19|21|
107502971|30000581|4|10/16/2023 17:50|22|
107595871|30000581|5|01/15/2024 14:44|30|
107896589|30000581|5|10/22/2024 14:32|26|
107983844|30000581|3|12/24/2024 21:11|30|
108069040|30000581|5|04/02/2025 18:12|24|
108069242|40001960|5|04/04/2025 16:30|21|
108156747|30000581|5|06/27/2025 16:44|30|
108182267|30000581|5|07/25/2025 09:00|21|
