"CRSH_ID","CNTY_NBR","MLPST_NBR","NBR_UNT_CNT","FRM_RD_CD","RD_ON_CD","DSTNC_MILE_FRM_RD_QTY","DRCTN_FRM_RD_CD","ACDNT_DT_TM","SVRTY_CD","ACC_TYP","RD_CONFIG","RD_COND","LT_COND","TRFC_CTRL","SPD_LMT_NBR","SPD_EST_NBR","SPD_AT_IMPCT_NBR","MANEUVER","VIOLATION","DIRECT","UNT_NBR"
"104677590","96",".52","2","40001960","30000581","0","","03/16/2016 11:54","1","27","2","1","1","1","55","55","50","4","0","W","1"
"104677590","96",".52","2","40001960","30000581","0","","03/16/2016 11:54","1","27","2","1","1","1","55","130","120","6","17","E","2"
"104713233","96",".52","2","40001960","30000581","0","","04/21/2016 20:44","5","21","2","1","5","1","55","35","10","4","0","E","1"
"104713233","96",".52","2","40001960","30000581","0","","04/21/2016 20:44","5","21","2","1","5","1","55","55","20","4","26","E","2"
"105113604","96",".1","2","30000111","30000581",".1","W","05/25/2017 19:37","2","22","2","1","1","0","55","50","45","4","8","E","1"
"105113604","96",".1","2","30000111","30000581",".1","W","05/25/2017 19:37","2","22","2","1","1","0","45","10","10","8","0","E","2"
"105269484","96",".52","2","40001960","30000581","0","","10/29/2017 10:01","5","21","2","2","1","13","55","55","35","4","8","E","1"
"105269484","96",".52","2","40001960","30000581","0","","10/29/2017 10:01","5","21","2","2","1","13","55","55","0","1","0","E","2"
"105353532","96",".52","2","40001960","30000581","0","","01/15/2018 15:43","5","23","2","1","1","0","55","55","35","6","18","E","1"
"105353532","96",".52","2","40001960","30000581","0","","01/15/2018 15:43","5","23","2","1","1","0","55","45","10","8","0","E","2"
"105414668","96",".52","2","40001960","30000581","0","","03/14/2018 17:09","4","21","2","1","1","0","55","55","45","4","8","E","1"
"105414668","96",".52","2","40001960","30000581","0","","03/14/2018 17:09","4","21","2","1","1","0","55","5","5","11","0","E","2"
"105475061","96","1.2","2","30000581","40001960","0","","05/04/2018 23:40","4","30","2","1","5","3","45","45","40","4","19","S","1"
"105475061","96","1.2","2","30000581","40001960","0","","05/04/2018 23:40","4","30","2","1","5","3","55","55","55","4","0","W","2"
"105598492","96",".515","2","40001960","30000581",".005","E","09/05/2018 17:44","4","21","2","1","1","13","55","55","45","4","8","W","1"
"105598492","96",".515","2","40001960","30000581",".005","E","09/05/2018 17:44","4","21","2","1","1","13","55","10","10","11","0","W","2"
"105947840","96",".52","2","40001960","30000581","0","","07/30/2019 08:41","5","23","2","1","1","13","55","10","10","8","0","W","1"
"105947840","96",".52","2","40001960","30000581","0","","07/30/2019 08:41","5","23","2","1","1","13","55","35","35","6","18","W","2"
"106128912","96",".52","2","40001960","30000581","0","","01/05/2020 12:24","5","30","2","1","1","1","55","35","35","4","2","S","1"
"106128912","96",".52","2","40001960","30000581","0","","01/05/2020 12:24","5","30","2","1","1","1","55","55","45","4","0","W","2"
"106127274","96",".52","1","40001960","30000581","0","","01/05/2020 12:56","5","19","2","1","1","0","55","55","45","4","20","E","1"
"106229531","96",".52","2","40001960","30000581","0","","05/14/2020 09:02","4","30","2","1","1","1","55","55","55","4","0","W","1"
"106229531","96",".52","2","40001960","30000581","0","","05/14/2020 09:02","4","30","2","1","1","1","55","5","5","4","19","S","2"
"106501836","96",".52","2","40001960","30000581","0","","02/24/2021 15:45","3","23","2","1","1","13","55","55","15","8","19","SE","1"
"106501836","96",".52","2","40001960","30000581","0","","02/24/2021 15:45","3","23","2","1","1","13","55","55","55","4","0","NW","2"
