"CRSH_ID","CNTY_NBR","MLPST_NBR","NBR_UNT_CNT","FRM_RD_CD","RD_ON_CD","DSTNC_MILE_FRM_RD_QTY","DRCTN_FRM_RD_CD","ACDNT_DT_TM","SVRTY_CD","ACC_TYP","RD_CONFIG","RD_COND","LT_COND","TRFC_CTRL","SPD_LMT_NBR","SPD_EST_NBR","SPD_AT_IMPCT_NBR","MANEUVER","VIOLATION","DIRECT","UNT_NBR"
"106827603","96","1.2","3","30000581","40001960","0","","01/07/2022 19:08","2","30","2","1","5","1","55","55","30","4","2","S","1"
"106827603","96","1.2","3","30000581","40001960","0","","01/07/2022 19:08","2","30","2","1","5","1","55","55","55","4","0","W","2"
"106827603","96","1.2","3","30000581","40001960","0","","01/07/2022 19:08","2","30","2","1","5","1","55","55","55","4","0","E","3"
"107139043","96",".52","2","40001960","30000581","0","","11/08/2022 02:16","5","30","2","1","5","1","55","55","0","4","19","N","1"
"107139043","96",".52","2","40001960","30000581","0","","11/08/2022 02:16","5","30","2","1","5","1","55","45","45","4","0","E","2"
"107206288","96",".52","2","40001960","30000581","0","","01/04/2023 19:19","5","21","2","1","5","0","55","55","55","4","8","E","1"
"107206288","96",".52","2","40001960","30000581","0","","01/04/2023 19:19","5","21","2","1","5","0","55","25","25","11","0","E","2"
"107502971","96",".52","2","40001960","30000581","0","","10/16/2023 17:50","4","22","2","1","5","13","55","55","35","4","8","E","1"
"107502971","96",".52","2","40001960","30000581","0","","10/16/2023 17:50","4","22","2","1","5","13","55","15","15","8","0","E","2"
"107595871","96",".52","2","40001960","30000581","0","","01/15/2024 14:44","5","30","2","1","1","1","55","5","0","4","19","N","1"
"107595871","96",".52","2","40001960","30000581","0","","01/15/2024 14:44","5","30","2","1","1","1","55","55","45","4","0","E","2"
"107896589","96",".521","2","40001960","30000581",".001","W","10/22/2024 14:32","5","26","2","1","1","1","45","45","10","7","19","S","1"
"107896589","96",".521","2","40001960","30000581",".001","W","10/22/2024 14:32","5","26","2","1","1","1","55","55","50","4","0","W","2"
"107983844","96",".52","2","40001960","30000581","0","","12/24/2024 21:11","3","30","2","2","5","1","55","0","15","4","19","SE","1"
"107983844","96",".52","2","40001960","30000581","0","","12/24/2024 21:11","3","30","2","2","5","1","55","55","55","4","0","W","2"
"108069040","96",".52","2","40001960","30000581","0","","04/02/2025 18:12","5","24","2","1","1","1","55","10","10","4","19","S","1"
"108069040","96",".52","2","40001960","30000581","0","","04/02/2025 18:12","5","24","2","1","1","1","55","10","10","8","0","N","2"
"108069242","96","1.2","2","30000581","40001960","0","","04/04/2025 16:30","5","21","2","1","1","1","55","10","10","4","8","S","1"
"108069242","96","1.2","2","30000581","40001960","0","","04/04/2025 16:30","5","21","2","1","1","1","55","0","0","11","0","S","2"
"108156747","96",".52","2","40001960","30000581","0","","06/27/2025 16:44","5","30","2","1","1","0","45","45","10","4","19","S","1"
"108156747","96",".52","2","40001960","30000581","0","","06/27/2025 16:44","5","30","2","1","1","0","45","45","45","4","0","E","2"
"108182267","96",".52","2","40001960","30000581","0","","07/25/2025 09:00","5","21","2","1","1","0","55","50","35","4","8","E","1"
"108182267","96",".52","2","40001960","30000581","0","","07/25/2025 09:00","5","21","2","1","1","0","55","55","0","1","0","E","2"
