"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"WAYNE","96","4","All and Rural","","10/1/2015","9/30/2025","10.00","150"
"Road Name","Road Code"
"NC 581","30000581"
"BILL","50002677"
"SR 1960","40001960"
"SPRING BANK","50034637"
"SPRING","50028855"
"BANK","50001579"
"NC 111","30000111"
"OLD NC 111","50036308"
"SR 1727","40001727"
"DOLLARD TOWN","50037495"
"11/25/2025","Page 1 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","1.000","S","NC 581","SR 1730","NC 111","10.202","","106348996","2020-09-21","19","1","5","1","O"
"0","NC 111","1.000","S","NC 581","SR 1726","NC 111","10.202","","105818414","2019-03-29","21","1","0","1","O"
"0","NC 111","1.000","S","NC 581","SR 1726","NC 111","10.202","","105471242","2018-05-05","19","1","0","1","B"
"0","NC 111","1.000","S","NC 581","SR 1730","NC 111","10.202","","104932392","2016-12-02","17","1","0","5","O"
"0","NC 111","1.000","S","NC 581","SR 1960","NC 111","10.202","","104853905","2016-09-19","21","1","0","1","B"
"11/25/2025","Page 26 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","1.000","S","NC 581","SR 1730","NC 111","10.202","","104686689","2016-03-27","19","2","4","1","O"
"0","NC 111","0.700","S","SR 1911","SR 1960","NC 111","10.202","","107905739","2024-10-31","21","1","0","5","B"
"0","NC 111","0.700","S","SR 1911","SR 1960","NC 111","10.202","","107067683","2022-08-26","23","1","4","1","O"
"0","NC 111","0.700","S","SR 1911","SR 1960","NC 111","10.202","","107072993","2022-09-07","23","1","4","1","C"
"0","NC 111","0.700","S","SR 1911","SR 1960","NC 111","10.202","","107352246","2023-05-30","21","1","4","1","B"
"0","NC 111","0.300","N","SR 1726","NC 581","NC 111","10.212","Y","105591708","2018-08-31","21","1","0","1","C"
"0","NC 111","0.200","N","SR 1960","NC 581","NC 111","10.242","Y","104566201","2015-11-21","19","1","0","5","C"
"0","NC 111","0.200","NW","SR 1960","SR 1710","NC 111","10.242","Y","104594147","2015-12-17","19","2","0","5","C"
"0","NC 111","0.900","SE","NC 581","SR 1960","NC 111","10.302","","107666417","2024-03-22","19","2","0","1","B"
"0","NC 111","0.300","N","SR 1960","NC 581","NC 111","10.342","Y","106633175","2021-07-08","19","1","0","5","B"
"0","NC 111","0.300","N","SR 1960","SR 1911","NC 111","10.342","Y","104652853","2016-02-20","19","1","0","5","O"
"0","NC 111","0.800","S","NC 581","SR 1726","NC 111","10.402","","105469020","2018-04-27","21","1","0","1","O"
"0","NC 111","0.500","S","SR 1911","SR 1960","NC 111","10.402","","105083497","2017-04-10","21","1","0","5","C"
"0","NC 111","0.500","SE","SR 1911","SR 1960","NC 111","10.402","","107191112","2022-12-16","19","1","0","1","B"
"0","NC 111","0.200","S","SR 2072","SR 1960","NC 111","10.452","","105175375","2017-07-24","19","1","0","1","O"
"0","NC 111","0.003","S","BETTS","SR 1960","NC 111","10.479","","104707208","2016-04-12","21","2","8","1","O"
"0","NC 111","0.300","S","SR 1911","SR 1960","NC 111","10.602","","106940070","2022-04-22","19","1","0","1","O"
"0","NC 111","0.300","S","SR 1911","SR 1960","NC 111","10.602","","104672332","2016-03-07","5","1","0","2","C"
"0","NC 111","0.035","S","SR 2072","SR 2073","NC 111","10.617","","107540054","2023-11-23","19","1","0","3","B"
"0","NC 111","0.019","N","SR 2072","SR 1726","NC 111","10.671","","106891517","2022-03-12","19","2","0","5","C"
"0","NC 111","0.200","S","SR 1911","SR 1960","NC 111","10.702","","104916980","2016-11-15","21","1","0","1","C"
"0","NC 111","0.200","S","SR 1911","SR 1960","NC 111","10.702","","105007504","2017-02-07","23","1","0","5","C"
"0","NC 111","0.057","N","SR 2072","SR 1911","NC 111","10.709","","105998779","2019-09-22","17","1","0","5","O"
"0","NC 111","0.400","S","NC 581","SR 1726","NC 111","10.802","","105109321","2017-05-23","21","2","0","1","O"
"0","NC 111","0.100","S","SR 1911","SR 1730","NC 111","10.802","","107168570","2022-12-02","19","1","0","5","B"
"0","NC 111","0.100","S","SR 1911","SR 1960","NC 111","10.802","","104629381","2016-01-27","17","1","0","5","O"
"0","NC 111","0.100","SE","SR 1911","SR 1960","NC 111","10.802","","105735162","2019-01-02","17","1","0","1","O"
"0","NC 111","0.023","S","SR 1911","SR 1960","NC 111","10.879","","105809470","2019-03-20","5","2","0","1","A"
"0","NC 111","0.019","S","SR 1911","SR 1960","NC 111","10.883","","107514240","2023-11-02","17","1","0","5","O"
"0","NC 111","0.008","SE","SR 1911","SR 1960","NC 111","10.894","","105778882","2019-02-19","21","1","0","1","O"
"0","NC 111","0.300","S","NC 581","SR 1710","NC 111","10.902","","106161622","2020-02-17","17","1","0","5","O"
"0","NC 111","0.300","SE","NC 581","SR 1911","NC 111","10.902","","105727744","2019-01-01","28","1","0","1","O"
"11/25/2025","Page 27 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","0.000","","SR 1911","SR 1710","NC 111","10.902","","105316305","2017-12-08","21","2","8","5","O"
"0","NC 111","1.000","N","SR 1726","NC 581","NC 111","10.912","Y","107053508","2022-08-21","19","1","0","1","B"
"0","NC 111","1.000","N","SR 1726","NC 581","NC 111","10.912","Y","106459337","2021-01-08","19","1","0","1",""
"0","NC 111","0.019","S","SR 1710","SR 1960","NC 111","10.923","","105780905","2019-02-11","21","2","0","1","O"
"0","NC 111","1.000","S","DOLLARD TOWN","NC 581","NC 111","10.941","","105508799","2018-06-06","21","1","0","1","O"
"0","NC 111","0.000","","SR 1710","NC 581","NC 111","10.942","","106528319","2021-03-24","21","1","8","1","O"
"0","NC 111","0.000","","SR 1710","NC 581","NC 111","10.942","","106025552","2019-10-15","21","1","8","1","O"
"0","NC 111","0.100","W","NC 581","SR 1915","NC 111","11.102","","104712876","2016-04-13","32","1","8","1","O"
"0","NC 111","0.042","S","NC 581","SR 1911","NC 111","11.160","","107615374","2024-01-31","21","1","8","1","K"
"0","NC 111","0.021","S","NC 581","SR 1726","NC 111","11.181","","107214251","2023-01-16","19","1","0","1","O"
"0","NC 111","0.019","S","NC 581","SR 1726","NC 111","11.183","","107105435","2022-10-05","21","1","12","1","O"
"0","NC 111","0.009","S","NC 581","SR 1911","NC 111","11.193","","107354271","2023-05-28","19","2","8","1","O"
"0","NC 111","0.006","S","NC 581","SR 1911","NC 111","11.196","","105497870","2018-05-28","19","2","8","1","O"
"0","NC 111","0.005","S","NC 581","SR 1710","NC 111","11.197","","106954581","2022-05-13","21","1","12","1","O"
"0","NC 111","0.000","","NC 581","","NC 111","11.202","","107649150","2024-03-05","23","1","8","5","C"
"0","NC 111","0.000","","NC 581","SR 1730","NC 111","11.202","","107556666","2023-12-05","23","1","0","5","O"
"0","NC 111","0.000","","NC 581","SR 1982","NC 111","11.202","","107261176","2023-02-14","23","1","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","107191170","2022-12-21","24","1","8","1","C"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","107057505","2022-08-20","19","1","8","5","O"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","106850316","2022-02-01","23","1","0","1","O"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","106842769","2022-01-25","23","1","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","106855591","2022-02-01","23","1","8","5","O"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","106817966","2021-12-24","23","1","8","5","O"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","106549277","2021-04-09","23","2","8","2","B"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","106509444","2021-03-06","30","1","8","1","C"
"0","NC 111","0.000","","NC 581","","NC 111","11.202","","106420108","2020-11-23","24","1","8","1","C"
"0","NC 111","0.000","","NC 581","SR 1726","NC 111","11.202","","106371740","2020-10-18","23","1","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1961","NC 111","11.202","","106356454","2020-10-02","19","1","8","1",""
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","106126699","2020-01-02","19","1","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","106138847","2020-01-21","5","1","8","1","B"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","106220299","2020-05-05","24","2","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1727","NC 111","11.202","","105977131","2019-09-01","19","1","8","5",""
"11/25/2025","Page 28 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","0.000","","NC 581","SR 1730","NC 111","11.202","","105881274","2019-05-30","30","1","8","1","B"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","106033094","2019-10-17","23","1","8","1","C"
"0","NC 111","0.000","","NC 581","","NC 111","11.202","","105783578","2019-02-23","30","2","8","1","C"
"0","NC 111","0.000","","NC 581","SR 1726","NC 111","11.202","","105804686","2019-03-11","23","1","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","105806004","2019-03-14","24","1","8","5","O"
"0","NC 111","0.000","","NC 581","SR 1726","NC 111","11.202","","105612119","2018-09-22","24","1","8","5","C"
"0","NC 111","0.000","","NC 581","SR 1960","NC 111","11.202","","104891445","2016-10-09","30","1","8","1","B"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","105036392","2017-03-08","23","2","8","5","O"
"0","NC 111","0.000","","NC 581","SR 1727","NC 111","11.202","","105166796","2017-07-10","23","2","8","1","O"
"0","NC 111","0.000","","NC 581","US 70","NC 111","11.202","","104869929","2016-10-05","24","1","8","1","O"
"0","NC 111","0.000","","NC 581","US 70","NC 111","11.202","","104816494","2016-08-03","24","1","8","1","B"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","104736054","2016-05-09","23","1","8","1","O"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","104806441","2016-07-27","24","1","8","1","C"
"0","NC 111","0.000","","NC 581","SR 1727","NC 111","11.202","","105363978","2018-01-26","23","1","8","1","C"
"0","NC 111","0.000","","NC 581","PVA POINSETTIA DR","NC 111","11.202","","104666499","2016-03-02","23","1","8","1","C"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","104652833","2016-02-19","23","1","8","1","B"
"0","NC 111","0.000","","NC 581","SR 1726","NC 111","11.202","","104681129","2016-03-18","23","1","8","5","C"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","104786378","2016-07-07","23","2","8","2","C"
"0","NC 111","0.000","","NC 581","","NC 111","11.202","","104517650","2015-10-02","30","2","7","1","B"
"0","NC 111","0.000","","NC 581","SR 1960","NC 111","11.202","","104545637","2015-11-05","23","1","8","5","O"
"0","NC 111","0.000","","NC 581","SR 1710","NC 111","11.202","","108100618","2025-04-24","23","1","8","1","B"
"0","NC 111","0.000","","NC 581","SR 1911","NC 111","11.202","","107529008","2023-11-14","23","1","8","3","B"
"0","NC 111","0.003","N","NC 581","SR 1727","NC 111","11.205","","107893852","2024-10-21","21","1","8","1","B"
"0","NC 111","0.003","N","NC 581","SR 1727","NC 111","11.205","","106744079","2021-10-26","21","1","12","1","O"
"0","NC 111","0.005","N","NC 581","SR 1727","NC 111","11.207","","107974887","2024-12-28","28","1","12","1","O"
"0","NC 111","0.009","E","NC 581","POINSETTA","NC 111","11.211","","106940061","2022-04-30","5","1","8","5","O"
"0","NC 111","0.009","N","NC 581","SR 1982","NC 111","11.211","","106582292","2021-05-23","21","1","8","1","O"
"0","NC 111","0.400","S","SR 1764","NC 581","NC 111","11.222","","106349556","2020-09-27","19","1","0","1","O"
"0","NC 111","0.023","N","NC 581","SR 1727","NC 111","11.225","","104788499","2016-06-17","21","1","0","1","O"
"0","NC 111","0.047","N","NC 581","SR 1727","NC 111","11.249","","106721139","2021-10-07","21","2","0","1","O"
"0","NC 111","0.100","N","NC 581","SR 1727","NC 111","11.302","","105166523","2017-07-15","19","1","0","5","O"
"0","NC 111","0.100","N","NC 581","SR 1764","NC 111","11.302","","105098446","2017-05-12","17","1","0","5","O"
"11/25/2025","Page 29 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","0.100","N","NC 581","SR 1727","NC 111","11.302","","104821763","2016-08-14","28","1","0","1","C"
"0","NC 111","0.300","S","SR 1764","NC 581","NC 111","11.322","","107444258","2023-08-29","13","1","0","1","O"
"0","NC 111","0.500","S","SR 1727","NC 581","NC 111","11.441","","106447356","2020-12-21","19","2","5","1","O"
"0","NC 111","0.100","N","SR 1982","SR 1764","NC 111","11.449","","104725298","2016-04-28","28","1","0","1","O"
"0","NC 111","0.400","S","SR 1727","NC 581","NC 111","11.541","","106685739","2021-09-02","19","1","5","5","B"
"0","NC 111","2.000","E","US 70","SR 1726","NC 111","11.568","","104935394","2016-11-27","28","1","0","5","O"
"0","NC 111","2.000","S","US 70","DOLLARD TOWN","NC 111","11.568","","106827721","2022-01-03","30","1","4","1","O"
"0","NC 111","0.400","N","NC 581","SR 1727","NC 111","11.602","","105316902","2017-12-09","25","2","0","1","O"
"0","NC 111","0.000","","SR 1764","SR 1775","NC 111","11.622","","107517903","2023-11-02","23","1","0","5","B"
"0","NC 111","0.200","S","SR 1727","SR 1815","NC 111","11.741","","106280842","2020-07-18","28","1","0","1","O"
"0","NC 111","0.200","S","SR 1727","SR 1726","NC 111","11.741","","105553652","2018-07-22","14","1","0","5","K"
"0","NC 111","0.900","S","SR 1726","NC 581","NC 111","11.785","Y","106351735","2020-09-28","28","1","0","1","B"
"0","NC 111","0.009","S","SR 1775","SR 1815","NC 111","11.834","","107731999","2024-05-24","21","3","12","1","C"
"0","NC 111","0.100","S","SR 1727","NC 581","NC 111","11.841","","107277677","2023-03-14","19","1","0","1","B"
"0","NC 111","0.100","S","SR 1727","SR 1775","NC 111","11.841","","107188387","2022-12-18","17","1","0","5","O"
"0","NC 111","0.100","S","SR 1727","NC 581","NC 111","11.841","","106489060","2021-02-09","30","1","0","1","O"
"0","NC 111","0.100","S","SR 1727","SR 1775","NC 111","11.841","","106174894","2020-02-27","21","1","0","1","B"
"0","NC 111","0.100","S","SR 1727","NC 581","NC 111","11.841","","105679305","2018-11-17","21","1","0","1","O"
"0","NC 111","0.100","S","SR 1727","NC 581","NC 111","11.841","","104836854","2016-08-25","19","1","0","1","C"
"0","NC 111","0.100","S","SR 1727","NC 581","NC 111","11.841","","105215054","2017-08-31","21","2","0","1","C"
"0","NC 111","0.076","S","SR 1727","NC 581","NC 111","11.865","","104654198","2016-02-12","24","2","4","5","C"
"0","NC 111","0.030","N","SR 1775","SR 1727","NC 111","11.873","","107968676","2024-12-19","23","1","0","5","C"
"0","NC 111","0.038","N","SR 1775","SR 1727","NC 111","11.881","","107370341","2023-05-04","14","1","0","5","K"
"0","NC 111","0.047","S","SR 1727","NC 581","NC 111","11.894","","107296110","2023-03-30","24","1","4","1","O"
"0","NC 111","0.041","S","SR 1727","NC 581","NC 111","11.900","","105195077","2017-08-17","23","1","4","2","B"
"0","NC 111","0.029","S","SR 1727","SR 1775","NC 111","11.912","","107531811","2023-11-15","24","1","4","5","B"
"0","NC 111","0.023","S","SR 1960","NC 581","NC 111","11.918","Y","104833908","2016-08-29","30","1","4","1","B"
"0","NC 111","0.022","S","SR 1727","SR 1775","NC 111","11.919","","107626651","2024-02-08","21","1","0","5","O"
"0","NC 111","0.015","S","SR 1960","SR 1775","NC 111","11.926","Y","107574650","2023-12-22","21","1","7","5","C"
"0","NC 111","0.007","S","SR 1727","SR 1726","NC 111","11.934","","105113340","2017-05-25","21","1","7","1","C"
"0","NC 111","0.005","S","SR 1727","NC 581","NC 111","11.936","","105852621","2019-04-30","21","1","12","1","O"
"0","NC 111","0.005","S","SR 1727","NC 581","NC 111","11.936","","105486503","2018-05-20","21","1","12","1","C"
"11/25/2025","Page 30 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","0.000","","SR 1727","SR 1726","NC 111","11.941","","108069059","2025-04-03","23","1","7","1","B"
"0","NC 111","0.000","","SR 1727","SR 1726","NC 111","11.941","","108125792","2025-05-28","23","1","7","1","O"
"0","NC 111","0.000","","SR 1727","SR 1972","NC 111","11.941","","107838378","2024-08-23","29","1","7","1","O"
"0","NC 111","0.000","","SR 1727","SR 1972","NC 111","11.941","","107540539","2023-11-25","21","1","7","5","O"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","107410756","2023-07-24","18","1","0","1","O"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","107255235","2023-02-03","21","1","7","1","O"
"0","NC 111","0.000","","SR 1727","SR 1726","NC 111","11.941","","107300950","2023-04-09","24","1","7","1","B"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","107000433","2022-06-22","23","2","7","5","A"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","106567966","2021-05-05","21","1","7","1","O"
"0","NC 111","0.000","","SR 1727","SR 1961","NC 111","11.941","","106473558","2021-01-26","30","2","0","1","O"
"0","NC 111","0.000","","SR 1727","SR 1775","NC 111","11.941","","106481578","2021-02-03","23","1","7","5","B"
"0","NC 111","0.000","","SR 1727","SR 1961","NC 111","11.941","","106455252","2020-12-09","24","1","7","1","C"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","106219207","2020-04-30","19","1","7","5",""
"0","NC 111","0.000","","SR 1727","SR 1775","NC 111","11.941","","106128948","2020-01-11","30","1","7","1","A"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","104595156","2015-12-17","23","2","7","5","C"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","104772572","2016-06-23","23","1","7","5","B"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","104742217","2016-05-14","30","1","7","1","B"
"0","NC 111","0.000","","SR 1727","NC 581","NC 111","11.941","","108038151","2025-02-23","23","1","7","5","B"
"0","NC 111","0.000","","SR 1960","NC 581","NC 111","11.941","Y","107666765","2024-02-27","23","1","8","1","O"
"0","NC 111","0.000","","SR 1960","NC 581","NC 111","11.941","Y","104758722","2016-06-09","24","1","8","5","C"
"0","NC 111","0.001","N","SR 1727","SR 1927","NC 111","11.942","","107179738","2022-12-09","23","1","7","1","B"
"0","NC 111","0.002","N","SR 1727","SR 1726","NC 111","11.943","","108216128","2025-08-23","28","1","0","1","O"
"0","NC 111","0.007","N","SR 1727","SR 1726","NC 111","11.948","","105113342","2017-05-25","28","1","7","1","O"
"0","NC 111","0.011","N","SR 1727","SR 1726","NC 111","11.952","","107065789","2022-08-29","21","1","7","5","A"
"0","NC 111","0.028","N","SR 1960","SR 1961","NC 111","11.969","Y","107390975","2023-07-06","21","1","4","1","C"
"0","NC 111","0.038","NW","SR 1972","SR 2036","NC 111","11.983","","104776217","2016-06-25","32","1","0","1","C"
"0","NC 111","0.009","S","SR 1972","SR 1727","NC 111","12.012","","104570236","2015-11-23","21","1","0","5","O"
"0","NC 111","0.009","N","SR 1972","SR 1726","NC 111","12.030","","107354289","2023-06-03","28","1","0","5","O"
"0","NC 111","0.100","N","SR 1727","SR 1961","NC 111","12.041","","106730821","2021-10-11","28","1","0","1","O"
"211","NC 111","0.600","S","SR 1726","SR 1727","NC 111","12.085","Y","107574658","2023-12-23","17","1","0","5","O"
"0","NC 111","0.600","S","SR 1726","US 70","NC 111","12.085","Y","107255580","2023-02-18","24","1","4","1","O"
"0","NC 111","0.200","N","SR 1727","SR 1726","NC 111","12.141","","106433576","2020-12-11","19","1","0","1","C"
"11/25/2025","Page 31 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","0.210","N","SR 1727","SR 1726","NC 111","12.151","","107574795","2023-12-24","28","1","0","1","O"
"0","NC 111","0.600","N","SR 1764","SR 1775","NC 111","12.222","","106858346","2022-02-09","28","1","0","1","O"
"0","NC 111","0.500","S","SR 1961","SR 1972","NC 111","12.244","","107083136","2022-09-17","28","1","0","1","O"
"0","NC 111","0.390","N","SR 1960","SR 1961","NC 111","12.331","Y","107288558","2023-03-23","21","1","0","1","C"
"0","NC 111","0.400","S","SR 1961","SR 1727","NC 111","12.344","","104823851","2016-08-17","21","1","0","5","B"
"0","NC 111","0.300","S","SR 1726","SR 1727","NC 111","12.385","Y","107192730","2022-12-23","17","1","0","5","O"
"0","NC 111","0.300","S","SR 1726","SR 1727","NC 111","12.385","Y","106753933","2021-11-01","17","1","0","5","O"
"0","NC 111","0.300","S","SR 1726","SR 1972","NC 111","12.385","Y","106495343","2021-02-19","28","2","0","1","B"
"0","NC 111","0.400","N","SR 1972","SR 1726","NC 111","12.421","","107188726","2022-12-20","17","1","0","1","O"
"0","NC 111","0.500","N","SR 1727","US 70","NC 111","12.441","","105811743","2019-03-23","17","1","0","5","O"
"0","NC 111","0.500","N","SR 1727","SR 1726","NC 111","12.441","","104562463","2015-11-23","21","1","0","2","C"
"0","NC 111","0.300","S","SR 1961","SR 1727","NC 111","12.444","","106874470","2022-02-21","27","1","0","5","C"
"0","NC 111","0.200","S","SR 1726","SR 1727","NC 111","12.485","Y","107935801","2024-11-23","28","1","0","5","C"
"211","NC 111","0.200","S","SR 1726","SR 1727","NC 111","12.485","Y","107519343","2023-11-05","17","1","0","1","O"
"0","NC 111","0.200","S","SR 1726","SR 1727","NC 111","12.485","Y","106038762","2019-10-23","32","1","0","1","B"
"0","NC 111","0.200","S","SR 1726","SR 1727","NC 111","12.485","Y","107073003","2022-09-07","21","1","0","1","O"
"0","NC 111","0.600","N","SR 1727","SR 1726","NC 111","12.541","","106990798","2022-06-19","17","1","0","5","O"
"0","NC 111","0.600","N","SR 1727","SR 1961","NC 111","12.541","","105957657","2019-08-12","28","1","0","1","O"
"0","NC 111","0.200","S","SR 1961","SR 1960","NC 111","12.544","","107121472","2022-10-23","17","1","0","5","O"
"0","NC 111","1.000","S","US 70","*LCL SOUTHEAST DRIVE ","NC 111","12.568","","108064053","2025-03-29","28","1","0","1","O"
"0","NC 111","1.000","S","US 70","SR 1727","NC 111","12.568","","106914377","2022-04-01","13","1","0","1","B"
"0","NC 111","1.000","S","US 70","SR 1727","NC 111","12.568","","106404170","2020-11-11","24","2","4","5","O"
"0","NC 111","1.000","S","US 70","SR 1961","NC 111","12.568","","106396877","2020-10-30","28","1","0","1","O"
"0","NC 111","1.000","S","US 70","SR 1962","NC 111","12.568","","105838869","2019-04-15","21","1","7","1","O"
"0","NC 111","1.000","S","US 70","SR 1962","NC 111","12.568","","105838842","2019-04-15","21","1","7","1","O"
"0","NC 111","1.000","S","US 70","SR 1726","NC 111","12.568","","105954192","2019-08-08","32","1","0","1","B"
"0","NC 111","1.000","S","US 70","SR 1727","NC 111","12.568","","105959391","2019-08-12","24","1","4","1","B"
"0","NC 111","1.000","S","US 70","DOLLARD TOWN","NC 111","12.568","","105517264","2018-06-16","28","1","0","1","O"
"0","NC 111","1.000","S","US 70","NC 581","NC 111","12.568","","105368795","2018-01-23","13","1","0","5","O"
"0","NC 111","1.000","S","US 70","SR 1727","NC 111","12.568","","105563910","2018-08-06","21","1","0","1","O"
"0","NC 111","0.057","S","SR 1726","SR 1727","NC 111","12.628","Y","106976278","2022-05-30","32","1","0","1","O"
"0","NC 111","0.700","N","SR 1727","US 70","NC 111","12.641","","106808421","2021-12-16","23","1","8","5","O"
"11/25/2025","Page 32 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 111","0.100","S","SR 1961","SR 1775","NC 111","12.644","","106364565","2020-10-09","23","1","8","1","C"
"0","NC 111","0.039","S","SR 1726","SR 1727","NC 111","12.646","Y","107810915","2024-06-08","15","1","0","5","K"
"0","NC 111","0.002","S","SR 1726","NC 581","NC 111","12.683","Y","107861016","2024-09-13","21","2","7","1","O"
"0","NC 111","0.002","S","SR 1726","NC 581","NC 111","12.683","Y","106256829","2020-06-20","21","1","8","1","C"
"0","NC 111","0.000","","SR 1726","SR 1727","NC 111","12.685","Y","104862302","2016-09-23","23","1","8","1","O"
"0","NC 111","0.000","","SR 1726","SR 1961","NC 111","12.685","Y","105364243","2018-01-27","26","1","8","5","C"
"0","NC 111","0.000","","SR 1726","SR 1727","NC 111","12.685","Y","104754486","2016-06-02","30","1","8","5","C"
"0","NC 111","0.014","S","SR 1961","SR 1726","NC 111","12.730","","106653988","2021-08-06","21","1","0","1","O"
"0","NC 111","0.006","S","SR 1961","SR 1726","NC 111","12.738","","105492188","2018-05-24","28","1","0","1","C"
"0","NC 111","0.004","S","SR 1961","SR 1926","NC 111","12.740","","106246290","2020-06-08","28","1","8","1","O"
"0","NC 111","0.001","S","SR 1961","SR 1726","NC 111","12.743","","107406153","2023-07-24","24","1","8","1","C"
"0","NC 111","0.000","","SR 1961","SR 1962","NC 111","12.744","","107397905","2023-07-13","24","1","7","1","O"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","107176986","2022-12-08","24","1","8","1","C"
"0","NC 111","0.000","","SR 1961","","NC 111","12.744","","107191280","2022-12-23","30","1","8","5","C"
"0","NC 111","0.000","","SR 1961","SR 1727","NC 111","12.744","","107286111","2023-03-25","28","1","0","5","B"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","106824381","2021-12-27","21","1","8","5","B"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","106635256","2021-07-08","24","1","8","5","O"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","106461908","2021-01-06","24","1","7","1","C"
"0","NC 111","0.000","","SR 1961","SR 1728","NC 111","12.744","","106381725","2020-10-26","19","1","8","2","O"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","106328583","2020-09-04","28","1","0","5","O"
"0","NC 111","0.000","","SR 1961","NC 111","NC 111","12.744","","106178014","2020-03-03","23","2","8","1","C"
"0","NC 111","0.000","","SR 1961","SR 1727","NC 111","12.744","","106209376","2020-04-23","24","1","8","1","O"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","105732716","2019-01-05","30","1","7","1","O"
"0","NC 111","0.000","","SR 1961","US 70","NC 111","12.744","","106011824","2019-10-02","24","1","8","1","C"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","105535743","2018-06-29","30","1","8","1","B"
"0","NC 111","0.000","","SR 1961","SR 1727","NC 111","12.744","","104880351","2016-10-07","21","2","7","1","C"
"0","NC 111","0.000","","SR 1961","SR 1727","NC 111","12.744","","104862325","2016-09-19","30","2","8","1","C"
"0","NC 111","0.000","","SR 1961","SR 1727","NC 111","12.744","","104852704","2016-09-14","23","1","7","1","B"
"0","NC 111","0.000","","SR 1961","SR 1726","NC 111","12.744","","104786308","2016-06-30","24","1","8","1","C"
"0","NC 111","0.000","","SR 1961","US 70","NC 111","12.744","","105269302","2017-10-28","24","1","7","1","O"
