"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"WAYNE","96","4","All and Rural","","10/1/2015","9/30/2025","10.00","150"
"Road Name","Road Code"
"NC 581","30000581"
"BILL","50002677"
"SR 1960","40001960"
"SPRING BANK","50034637"
"SPRING","50028855"
"BANK","50001579"
"NC 111","30000111"
"OLD NC 111","50036308"
"SR 1727","40001727"
"DOLLARD TOWN","50037495"
"11/25/2025","Page 1 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"211","NORTH","0.000","","BANK","","","999.999","","105728091","2018-12-12","30","1","7","5","O"
"0","PRIVATE","0.019","E","NC 581","SR 1911","","999.999","","105612129","2018-09-18","19","1","5","1","O"
"0","PVA (1805 BILL LN BLVD)","0.019","S","NC 581","","","999.999","","107519313","2023-10-22","31","1","4","1","O"
"0","PVA (FAMILY DOLLAR)","0.005","E","NC 111","","","999.999","","104838586","2016-09-02","19","2","4","5","O"
"0","PVA (SHORT STOP)","0.010","W","NC 111","","","999.999","","104636577","2016-02-05","20","1","4","1","O"
"211","PVA 100 MOLLIE DR","0.019","E","NC 111","","","999.999","","107149776","2022-11-16","21","1","0","1","O"
"211","PVA 100 MOLLIE DR","0.019","E","NC 111","","","999.999","","106819546","2021-12-30","31","2","0","4","O"
"211","PVA 100 MOLLIE DR","0.019","E","NC 111","","","999.999","","106550544","2021-03-12","30","1","0","4","C"
"211","PVA 103 N 581","0.006","W","NC 581","","","999.999","","107361401","2023-06-09","31","1","0","1","O"
"11/25/2025","Page 3 of 92"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"211","PVA 103 N 581","0.014","W","NC 581","","","999.999","","106711166","2021-08-07","31","1","","1","O"
"211","PVA 103 N 581 HWY","0.009","W","NC 581","US 70BUS","","999.999","","107140168","2022-11-07","31","1","0","4","O"
"211","PVA 103 N 581 HWY","0.010","W","NC 581","BROOK","","999.999","","106984270","2022-06-12","20","1","0","1","O"
"211","PVA 103 N 581 HWY","0.020","E","NC 581","","","999.999","","107389218","2023-07-06","29","1","0","1","O"
"211","PVA 103 N NC 581 HWY","0.004","W","NC 581","US 70","","999.999","","108095375","2025-04-29","19","1","4","4","O"
"211","PVA 103 N NC 581 HWY","0.009","W","NC 581","","","999.999","","107469740","2023-09-12","31","1","0","1","O"
"211","PVA 103 NC 581 HWY","0.006","W","NC 581","","","999.999","","108018182","2025-02-12","19","2","0","4","O"
"211","PVA 103 NC 581 HWY","0.019","W","NC 581","MITCHELL FARM","","999.999","","107170161","2022-12-01","30","1","0","1","O"
"211","PVA 103 NC 581 HWY N","0.009","W","NC 581","US 70","","999.999","","107157013","2022-11-21","31","1","0","4","O"
"211","PVA 103 NC 581 N","0.028","W","NC 581","","","999.999","","106423367","2020-11-18","19","1","0","1","O"
"211","PVA 110 MOLLIE DR","0.019","E","NC 111","WOODPECK","","999.999","","107482722","2023-10-06","19","10","4","8",""
"0","PVA 1135 E NEW HOPE ROAD","0.008","W","NC 111","","","999.999","","105446917","2018-04-07","20","2","4","4","O"
"211","PVA 137 S NC 111 HWY","0.009","E","NC 111","BLUE BIRD","","999.999","","107031057","2022-07-29","31","1","4","4",""
"211","PVA 161 S NC 111 HWY","0.001","E","NC 111","","","999.999","","107874103","2024-10-04","21","1","0","1","O"
"211","PVA 163 HWY 111S","0.004","E","NC 111","","","999.999","","106238890","2020-04-03","31","1","","1","O"
"211","PVA 163 NC HWY 111 S","0.000","","NC 111","","","999.999","","106028179","2019-10-06","30","1","0","1","O"
"211","PVA 163 NC HWY 111 S","0.004","E","NC 111","","","999.999","","104535349","2015-10-16","31","1","0","4","O"
"211","PVA 165 S NC 111 HIGHWAY","0.018","E","NC 111","WOODPECK","","999.999","","107003010","2022-06-28","30","1","0","1","O"
"211","PVA 175 NC HIGHWAY 111 S","0.019","E","NC 111","","","999.999","","106173627","2020-01-20","31","1","0","1","O"
"211","PVA 185 NC 111 HWY","0.003","E","NC 111","","","999.999","","104835664","2016-08-17","19","1","0","1","O"
"211","PVA 185 NC 111 S","0.003","E","NC 111","","","999.999","","104999920","2016-12-16","19","1","","1","O"
"211","PVA 185 NC HWY","0.016","E","NC 111","","","999.999","","106470669","2020-12-23","31","1","0","1","O"
"211","PVA 185 S NC 111 HWY","0.006","E","NC 111","WOODPECK","","999.999","","107614761","2024-02-05","30","1","0","1",""
"211","PVA 206 S 111 HWY","0.009","W","NC 111","","","999.999","","106409967","2020-11-11","31","2","0","1","C"
"11/25/2025","Page 4 of 92"
