"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Fiche Report"
"County","County Code","Division","Municipality","Municipality
Code","Begin Date","End Date","Years","Y-Line
Feet"
,"JOHNSTON","51","4","All and Rural","","12/1/2013","5/31/2026","12.50","0"
"Road Name","Road Code"
"SR 1003","40001003"
"BUFFALO","50004182"
"WENDELL","50032464"
"LAKE WENDELL","50016884"
"SR 1701","40001701"
"EAGLE ROCK","50009137"
"SR 2638","40002638"
"SR 1716","40001716"
"07/14/2026","Page 1 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 231","0.000","","SR 1701","SR 2357","NC 231","0.182","","107286727","2023-03-24","24","1","8","1","O"
"0","NC 231","0.000","","SR 1003","SR 1719","NC 231","999.999","","106806692","2021-12-16","19","1","0","5","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","104247720","2014-12-15","30","1","7","1","A"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","107034545","2022-08-01","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106304993","2020-08-12","23","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","107080645","2022-09-12","21","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","105688452","2018-11-26","23","1","7","3","C"
"0","NC 42","0.000","","SR 1003","SR 1712","NC 42","16.393","","104018778","2014-03-18","30","2","7","4","A"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","105975007","2019-08-30","23","1","7","1","A"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106838081","2022-01-19","26","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","104153810","2014-09-15","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 2269","NC 42","16.393","","104657862","2016-02-26","30","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","105064121","2017-04-09","24","1","7","1","O"
"07/14/2026","Page 3 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","105342182","2017-12-25","30","1","7","5","C"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","105348291","2018-01-09","23","1","7","2","C"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","106348848","2020-09-11","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","106699889","2021-09-18","31","1","7","1","O"
"0","NC 42","0.000","","SR 1003","","NC 42","16.393","","104705874","2016-04-10","30","1","7","1","O"
"0","NC 42","0.000","","SR 1003","FLOWER","NC 42","16.393","","105727801","2018-12-30","24","1","7","1","C"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","106123826","2020-01-09","21","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","106222918","2020-05-11","13","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","104775009","2016-05-30","30","1","7","1","B"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106029732","2019-10-15","23","1","7","5","C"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","106562937","2021-05-01","29","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","106852431","2022-01-31","24","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","106217858","2020-05-03","29","1","7","1","A"
"0","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","105745074","2019-01-14","23","1","7","5","O"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","106122304","2020-01-10","24","1","7","1","C"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","107298414","2023-04-05","21","2","7","4","B"
"0","NC 42","0.000","","SR 1003","FLOWER","NC 42","16.393","","107531110","2023-11-15","17","1","0","5","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","108442839","2026-03-23","26","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","108343093","2025-12-03","25","1","7","5","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","107612652","2024-02-02","30","1","7","4","O"
"0","NC 42","0.000","","SR 1003","NC 96","NC 42","16.393","","107699058","2024-04-23","30","1","7","1","O"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","107952922","2024-12-10","21","2","0","1","O"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","107307534","2023-04-17","23","1","7","3","B"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","108267400","2025-10-13","24","1","7","4","C"
"0","NC 42","0.000","","SR 1003","SR 1745","NC 42","16.393","","107564469","2023-12-12","21","1","7","1","B"
"0","NC 42","0.000","","SR 1003","SR 1704","NC 42","16.393","","107702559","2024-04-28","25","1","7","5","O"
"721","NC 42","0.000","","SR 1003","SR 1735","NC 42","16.393","","108472041","2026-04-18","15","1","7","1","B"
"0","NC 42","0.000","","SR 1003","SR 1941","NC 42","16.393","","108483738","2026-04-29","30","1","7","1","O"
"0","NC 42","0.000","N","SR 1003","SR 1905","NC 42","16.393","","106699783","2021-09-17","23","1","7","1","O"
"0","NC 42","0.000","S","SR 1003","US 70","NC 42","16.393","","108261257","2025-10-09","26","1","7","1","O"
"0","NC 96","0.000","","SR 1716","NC 231","NC 96","38.388","","106720594","2021-10-07","24","1","8","1","O"
"0","NC 96","0.000","","SR 1716","NC 231","NC 96","38.388","","104359105","2015-04-24","30","1","8","1","C"
"07/14/2026","Page 4 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"0","NC 96","0.000","","SR 1716","NC 231","NC 96","38.388","","107976609","2025-01-01","24","1","8","1","O"
"0","NC 96","0.000","","SR 1716","NC 231","NC 96","38.388","","107921176","2024-11-13","29","1","8","5","C"
"0","NC 96","0.000","","SR 1701","SR 1729","NC 96","999.999","","104082078","2014-06-13","30","1","0","1","C"
"491","NOBLE","0.000","E","BUFFALO","","NOBLE","999.999","","107380445","2023-06-26","19","2","0","4","O"
"0","NOBLE","0.000","","SR 1003","US 70","NOBLE","999.999","","104520432","2015-10-14","24","1","8","1","O"
"0","NOBLE","0.000","","SR 1003","US 70","NOBLE","999.999","","104815329","2016-08-09","24","1","8","1","C"
"491","OAK","0.000","","BUFFALO","NOBLE","OAK","999.999","","107047402","2022-08-12","23","1","7","4","O"
"491","OAK","0.000","W","BUFFALO","US 70","OAK","999.999","","107250610","2023-02-21","2","1","0","1","O"
"491","OAK","0.000","W","BUFFALO","US 70","OAK","999.999","","108206916","2025-08-19","31","1","4","4","O"
"502","SR 1003","0.000","","CASWELL","BRIDGE","SR 1003","0.184","","106714450","2021-08-16","24","1","","1","O"
"502","SR 1003","0.057","N","NORTH","SR 1923","SR 1003","0.313","","106110772","2019-11-28","17","1","0","4","O"
"502","SR 1003","0.009","N","NORTH","HOSPITAL","SR 1003","0.361","","105399845","2017-12-05","27","1","8","4","O"
"502","SR 1003","0.001","N","NORTH","HOSPITAL","SR 1003","0.369","","104123252","2014-06-24","21","1","8","1","O"
"502","NORTH","0.000","","SR 1003","THIRD","SR 1003","0.370","Y","107941776","2024-11-03","29","1","8","4","B"
"502","NORTH","0.000","","SR 1003","THIRD","SR 1003","0.370","Y","106926293","2022-03-04","23","1","8","1","C"
"502","SR 1003","0.000","","NORTH","","SR 1003","0.370","","108206008","2025-07-10","24","1","","1","O"
"502","SR 1003","0.000","","NORTH","FOURTH","SR 1003","0.370","","106712567","2021-08-11","24","1","8","1","O"
"502","SR 1003","0.000","","NORTH","","SR 1003","0.370","","107177221","2022-11-24","19","1","8","4","B"
"502","SR 1003","0.000","","NORTH","THIRD","SR 1003","0.370","","107350059","2023-05-03","24","1","0","1","O"
"502","SR 1003","0.000","","NORTH","","SR 1003","0.370","","106687132","2021-07-22","19","1","","1","O"
"502","SR 1003","0.000","","NORTH","FOURTH","SR 1003","0.370","","106727146","2021-08-25","24","1","8","1","O"
"502","NORTH","0.000","","SR 1003","FOURTH","SR 1003","0.397","Y","107094856","2022-09-22","24","1","8","1","O"
"502","NORTH","0.000","","SR 1003","FOURTH","SR 1003","0.397","Y","107060117","2022-08-13","24","1","8","1","O"
"502","PVA BUFFALO RD","0.000","","SR 1003","","SR 1003","0.397","","104247995","2014-12-12","20","1","0","1","O"
"502","SR 1003","0.076","S","HOSPITAL","NORTH","SR 1003","0.522","","105508498","2018-06-06","22","1","8","1","O"
"502","SR 1003","0.038","S","HOSPITAL","NORTH","SR 1003","0.560","","107628857","2024-01-10","21","1","","1","C"
"502","BUFFALO","0.019","S","HOSPITAL","NORTH","SR 1003","0.579","","104343801","2015-03-30","21","1","8","1","O"
"502","SR 1003","0.018","S","HOSPITAL","NORTH","SR 1003","0.580","","104067845","2014-05-21","21","1","0","1","O"
"502","SR 1003","0.012","S","HOSPITAL","NORTH","SR 1003","0.586","","107365409","2023-05-23","19","1","0","1","O"
"502","BUFFALO","0.000","","HOSPITAL","NORTH","SR 1003","0.598","","108298802","2025-10-29","23","2","","1","O"
"502","BUFFALO","0.000","","HOSPITAL","HOLLAND","SR 1003","0.598","","104113296","2014-06-21","23","1","7","1","O"
"502","BUFFALO","0.000","","HOSPITAL","NORTH","SR 1003","0.598","","104204417","2014-10-27","24","1","7","1","O"
"07/14/2026","Page 5 of 74"
"Muni.
Code","On Road","Miles  /  Dir
From","From Road","Toward Road","Milepost Road","MP","MA","Crash ID","Date","T","C","F","L","S"
"502","SR 1003","0.000","","HOSPITAL","","SR 1003","0.598","","107526060","2023-10-30","21","1","7","1","O"
"502","SR 1003","0.000","","HOSPITAL","","SR 1003","0.598","","107239377","2023-01-29","1","2","8","4",""
"502","SR 1003","0.000","","HOSPITAL","NORTH","SR 1003","0.598","","106783082","2021-08-30","23","1","","1","O"
"502","SR 1003","0.000","","HOSPITAL","","SR 1003","0.598","","106309826","2020-07-08","28","1","7","1","O"
"502","SR 1003","0.000","","HOSPITAL","HOLLAND","SR 1003","0.598","","106117867","2019-12-04","23","1","7","1","C"
"502","SR 1003","0.000","","HOSPITAL","NORTH","SR 1003","0.598","","105461470","2018-04-19","30","1","7","1","O"
"502","SR 1003","0.000","","HOSPITAL","NORTH","SR 1003","0.598","","105439417","2018-03-23","21","1","7","1","O"
