,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Study Criteria Summary"
"County:","GREENE","City:","All and Rural"
"Date:","4/1/2022","to","3/31/2026","Study:","41000078044AFTER1"
"Location:","NC 91 at SR 1225 (Speights Bridge Road)/SR 1303 (Fieldsboro Road)"
"Report Details"
"Acc
No","Crash ID","Date","Accident Type","Total
"Year","Total
Accidents","Fatal
Accidents","Injury
Accidents","Property Damage
Only Accidents"
"2022","0","0","0","0"
"2023","0","0","0","0"
"2024","1","0","0","1"
"2025","0","0","0","0"
"2026","0","0","0","0"
"Total","1","0","0","1"
"Injury Totals"
"Year","Fatal Injuries","Class A, B,
or C Injuries"
"2022","0","0"
"2023","0","0"
"2024","0","0"
"2025","0","0"
"2026","0","0"
"Total","0","0"
"Miscellaneous Totals"
"Year","Property Damage","EPDO Index"
"2022","$","0","0.00"
"2023","$","0","0.00"
"2024","$","18250","1.00"
"2025","$","0","0.00"
"2026","$","0","0.00"
"Total","$","18250","1.00"
"Type of Accident Totals"
"Year","Left Turn","Right Turn","Rear End","Run Off Road &
Fixed Object","Angle","Side Swipe","Other"
"2022","0","0","0","0","0","0","0"
"2023","0","0","0","0","0","0","0"
"2024","0","0","0","0","1","0","0"
"2025","0","0","0","0","0","0","0"
"2026","0","0","0","0","0","0","0"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-7-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Year","Left Turn","Right Turn","Rear End","Run Off Road &
Fixed Object","Angle","Side Swipe","Other"
"Total","0","0","0","0","1","0","0"
,"05/29/2026","All data presented in this report comes explicitly from the Traffic Engineering Accident Analysis
System based upon various input criteria provided by the report's creator. The onus is strictly upon the user of this report to exercise due diligence in interpreting and further representing this data.","-8-"
,"North Carolina Department of Transportation
Traffic Engineering Accident Analysis System
Intersection Analysis Report"
"Study Criteria"
"Study Name","Log No.","PH No.","TIP No.","K/A Cf.","B/C Cf.","ADT","ADT Route"
,"41000078044AFTER1","41000078044","022062356","SS6002AD","76.8","8.4","1800",""
"Request Date","Courier Service","Phone No.","Ext.","Fax No."
,"","","","",""
"County","Municipality"
,"Name","Code","Div.","Name","Code","Y-Line Ft.","Begin Date","End Date","Years"
,"GREENE","40","2","All and Rural","","150","4/1/2022","3/31/2026","4.00"
"Location Text","Requestor"
"NC 91 at SR 1225 (Speights Bridge Road)/SR 1303 (Fieldsboro Road)",""
"Fiche Roads"
"Name","Code"
"SR 1303","40001303"
"NC 91","30000091"
"SPEIGHTS BRIDGE","50028745"
"WILSON","50033187"
